advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Roberta Metsola		406824526101449	Facebook	d029	2019-01-29	MT	Malta	2	1	27498	5500	98	0
Josef Caruana		166617437361908	Facebook	d029	2019-01-29	MT	Malta	1	1	3448	1724	17	3
FontBundles.net		1653056048283270	Facebook	d029	2019-01-29	MT	Malta	3	1	2494	1108	12	2
Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	d029	2019-01-29	MT	Malta	1	1	537	107	1	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d029	2019-01-29	MT	Malta	7	1	185	82	2	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d029	2019-01-29	MT	Malta	2	1	136	63	0	0
Milaap		315603771494	Facebook	d029	2019-01-29	MT	Malta	1	1	83	16	0	0
FT Transact		643057169228509	Facebook	d029	2019-01-29	MT	Malta	1	1	52	26	0	0
TENCEL		164249401288	Facebook	d029	2019-01-29	MT	Malta	1	1	42	17	0	0
Mailman	Jamie Stanley	107431219296437	Facebook	d029	2019-01-29	MT	Malta	1	1	33	16	0	0
Acacia Car Rentals		198061050534528	Facebook	d029	2019-01-29	MT	Malta	1	1	28	5	0	0
Vadim Rotari		516538278845787	Facebook	d029	2019-01-29	MT	Malta	1	1	16	3	0	0
EIT InnoEnergy		344038838945608	Facebook	d029	2019-01-29	MT	Malta	4	1	13	5	0	0
FT Content Solutions		1220981994590364	Facebook	d029	2019-01-29	MT	Malta	2	1	7	1	0	0
Soviet Visuals		1160495674016675	Facebook	d029	2019-01-29	MT	Malta	5	1	7	1	0	0
Le Monde		14892757589	Facebook	d029	2019-01-29	MT	Malta	5	1	7	2	0	0
Andrew Zbik - Lane Cove - Labor		1599877663573922	Facebook	d029	2019-01-29	MT	Malta	2	1	4	1	0	0
Banque mondiale		155174084508744	Facebook	d029	2019-01-29	MT	Malta	6	1	2	0	0	0
OBV		78976852029	Facebook	d029	2019-01-29	MT	Malta	1	1	2	0	0	0
YOGA BURN		146316959083110	Facebook	d029	2019-01-29	MT	Malta	2	1	1	0	0	0
OZY		1393911800825140	Facebook	d029	2019-01-29	MT	Malta	1	1	1	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d029	2019-01-29	MT	Malta	2	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	d029	2019-01-29	MT	Malta	2	1	0	0	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	d029	2019-01-29	MT	Malta	2	1	0	0	0	0
