audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	ES	Spain	17517	2087	74249870	28790315	468651	65826
f35_44	female (35-44)	ES	Spain	17564	2086	69666769	26535354	498814	67649
m25_34	male (25-34)	ES	Spain	16303	2020	63960867	24897786	432340	58249
f45_54	female (45-54)	ES	Spain	18032	2011	60897334	22147307	474551	57889
f18_24	female (18-24)	ES	Spain	14143	1901	58866612	23588475	310323	44596
m35_44	male (35-44)	ES	Spain	16268	2014	56830590	21973686	428693	56564
f55_64	female (55-64)	ES	Spain	17201	1848	45088602	16102482	422497	43303
m45_54	male (45-54)	ES	Spain	15715	1944	42762808	15924412	324278	42351
m18_24	male (18-24)	ES	Spain	13662	1848	39845851	15939531	230550	31644
m55_64	male (55-64)	ES	Spain	14681	1793	25541945	9406374	232549	25162
f65_	female (65+)	ES	Spain	14764	1628	24741164	8847764	243041	23893
m65_	male (65+)	ES	Spain	13181	1588	15092885	5595801	139977	15210
f13_17	female (13-17)	ES	Spain	811	334	1623961	635167	4192	341
u35_44	unknown (35-44)	ES	Spain	11397	1707	1092189	430618	7436	1143
m13_17	male (13-17)	ES	Spain	730	314	1063736	420331	2586	245
u25_34	unknown (25-34)	ES	Spain	10416	1604	589504	232368	3624	571
u45_54	unknown (45-54)	ES	Spain	10344	1559	482133	183364	3465	497
u55_64	unknown (55-64)	ES	Spain	7853	1282	192638	72709	1572	202
u65_	unknown (65+)	ES	Spain	7009	1155	173363	65908	1420	182
u18_24	unknown (18-24)	ES	Spain	6324	1201	133561	52996	756	113
u13_17	unknown (13-17)	ES	Spain	484	237	3926	1503	12	1
