advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	HR	Croatia	38	1	7276922	3358453	23521	5245
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	HR	Croatia	61	1	4558925	1979994	7396	478
Valter Flego	Valter Flego	441675022557503	Facebook	HR	Croatia	63	1	2920590	856868	8842	1067
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	HR	Croatia	32	1	2150968	776000	5401	890
European Greens		141366725876424	Facebook	HR	Croatia	37	1	2069870	861079	6198	1755
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	HR	Croatia	25	1	1905510	652800	3077	177
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	HR	Croatia	43	1	1728956	609000	5925	534
Kialo		729627343834501	Facebook	HR	Croatia	319	1	1619207	680017	7630	1932
pametno.org	pametno.org	144815235686385	Facebook	HR	Croatia	28	1	1574438	597831	2876	88
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	HR	Croatia	75	1	1448924	375999	7302	89
Ruža Tomašić		1434305366791182	Facebook	HR	Croatia	40	1	1423485	371704	3813	0
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	HR	Croatia	19	1	1209049	364622	2460	177
Eclectica		1379977375431894	Facebook	HR	Croatia	1	1	999999	500000	4449	890
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	HR	Croatia	22	1	986978	266000	3006	267
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	HR	Croatia	12	1	915987	285999	1769	178
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	HR	Croatia	28	1	646679	204827	1458	126
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	HR	Croatia	50	1	622343	290788	1516	411
Zoran Bahtijarević		2195720960680577	Facebook	HR	Croatia	4	1	549841	259922	1595	299
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	HR	Croatia	8	1	504992	161000	1115	89
Bandić Milan 365 - Stranka rada i solidarnosti		350640391803012	Facebook	HR	Croatia	1	1	499996	199999	444	89
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	HR	Croatia	14	1	470009	198511	1976	177
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	HR	Croatia	10	1	465989	152999	1237	89
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	HR	Croatia	16	1	454984	100000	1431	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	HR	Croatia	17	1	452978	101999	3141	389
Electrolux Hrvatska		1229501663771543	Facebook	HR	Croatia	3	1	399997	200000	297	0
Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	HR	Croatia	9	1	329991	75000	880	0
Nova ljevica	Markovina Dragan	706769699498076	Facebook	HR	Croatia	16	1	329983	80999	1766	89
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	HR	Croatia	59	1	322387	135231	1203	254
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	HR	Croatia	7	1	225992	80999	616	0
Domagoj Maroević	HDZ - Hrvatska demokratska zajednica	377283356332665	Facebook	HR	Croatia	4	1	209996	75000	352	0
HSLS Split		436749753018950	Facebook	HR	Croatia	1	1	199998	99999	444	89
Klub zastupnika EPP-a		378351268934576	Facebook	HR	Croatia	1	1	199998	99999	98	0
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	HR	Croatia	3	1	199997	70000	264	0
Sunčana Glavak	HDZ - Hrvatska demokratska zajednica	482597361772021	Facebook	HR	Croatia	9	1	199991	52000	869	0
Stjepan Čuraj		1528272037424751	Facebook	HR	Croatia	3	1	199870	69936	674	99
Ranko Ostojić		414575348695604	Facebook	HR	Croatia	14	1	198196	44605	1226	0
Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	HR	Croatia	8	1	184881	42977	703	0
Željana Zovko		1203134436474667	Facebook	HR	Croatia	19	1	184151	49306	1487	0
HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	HR	Croatia	10	1	165841	38199	809	0
Tomislav Stojak		442201595870855	Facebook	HR	Croatia	12	1	161987	43999	1068	0
Ivan Prskalo - Kandidat Mosta za EU Izbore		413937162730005	Facebook	HR	Croatia	3	1	159997	65000	264	0
Dominik Vuletić		1858121814431190	Facebook	HR	Croatia	4	1	159961	34993	352	0
European Youth Event		919232861444360	Facebook	HR	Croatia	8	1	157272	73846	359	97
Goran Pauk	HDZ - Hrvatska demokratska zajednica	581489628528785	Facebook	HR	Croatia	4	1	154995	31000	741	89
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	HR	Croatia	18	1	152399	68301	426	46
Stjepan Adanić	HDZ - Hrvatska demokratska zajednica	408695383042330	Facebook	HR	Croatia	3	1	149997	30000	275	0
Ladislav Ilčić	Ladislav Ilčić	621823571235813	Facebook	HR	Croatia	3	1	149996	29999	264	0
Greens/EFA in the European Parliament		150527751674751	Facebook	HR	Croatia	12	1	149394	65095	247	45
HKS - Hrvatska konzervativna stranka	HKS - Hrvatska konzervativna stranka	789855157727222	Facebook	HR	Croatia	7	1	144992	40999	616	0
Faktograf.hr	Faktograf.hr	1487935214842281	Facebook	HR	Croatia	14	1	134985	38999	1233	0
Stranka europskih socijalista		1927927220797184	Facebook	HR	Croatia	5	1	124994	30999	494	0
Ruža Kovačević Bilić	Hrvatska narodna stranka - liberalni demokrati (HNS)	2268602929863854	Facebook	HR	Croatia	6	1	121900	29981	582	0
Joško Klisović	Klisovic Josko	1262594650584725	Facebook	HR	Croatia	7	1	117991	25999	692	0
Bulešić 4 EU		2550012408361701	Facebook	HR	Croatia	3	1	109339	24711	270	0
Give A Vote		2186129244970085	Facebook	HR	Croatia	3	1	107801	53109	506	101
Privredni.		1062000377172732	Facebook	HR	Croatia	2	1	104998	51000	176	0
Krešo Beljak		52929105855	Facebook	HR	Croatia	2	1	100997	49999	597	99
Marijana Petir		1418903245032313	Facebook	HR	Croatia	1	1	99998	49999	98	0
MakeUp Eraser Croatia		130338117828161	Facebook	HR	Croatia	2	1	99998	20000	198	0
HSS Hrvatska		236043376446622	Facebook	HR	Croatia	1	1	99998	49999	98	0
Dubravka Suica	HDZ - Hrvatska demokratska zajednica	195096520662445	Facebook	HR	Croatia	2	1	99997	20000	187	0
MarketsCube		294693984421347	Facebook	HR	Croatia	8	1	86989	22998	1061	89
Bornfight		2050766478536116	Facebook	HR	Croatia	10	1	80990	20999	990	0
Nacionalni Portal		2081777548773198	Facebook	HR	Croatia	4	1	74995	20999	395	0
Dalija Orešković - START		1984286805018866	Facebook	HR	Croatia	6	1	71994	17000	594	0
Predrag Mišić	HKS - Hrvatska konzervativna stranka	301664597159836	Facebook	HR	Croatia	3	1	69997	20000	264	0
HNS Dubrovačko-neretvanske županije	Hrvatska narodna stranka - liberalni demokrati (HNS)	161469323948491	Facebook	HR	Croatia	4	1	69939	16971	384	0
Educiraj = Recikliraj		360491234496513	Facebook	HR	Croatia	3	1	69936	19987	343	0
Nenad Matić - Zelena lista		157025101623973	Facebook	HR	Croatia	7	1	66206	19242	553	0
Council of the European Union		147547541961576	Facebook	HR	Croatia	5	1	62300	15784	143	8
Antun Babić kandidat za predsjednika države		1106971599482775	Facebook	HR	Croatia	4	1	61995	14999	352	0
