advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m	male	IE	Ireland	15	1	1436784	611552	5272	1401
Fianna Fáil	Fianna Fáil	222629035132	Facebook	m	male	IE	Ireland	23	1	816691	346107	3045	430
European Greens	European Greens	141366725876424	Facebook	m	male	IE	Ireland	7	1	791670	368736	8704	1844
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	m	male	IE	Ireland	28	1	740994	184464	6776	1204
Fine Gael	Fine Gael	264172043210	Facebook	m	male	IE	Ireland	6	1	732900	310270	6414	1743
Maria Walsh	Fine Gael	883806764992893	Facebook	m	male	IE	Ireland	10	1	683774	298027	4946	1632
Matt Carthy	Carthy Matt	580216935345125	Facebook	m	male	IE	Ireland	5	1	676153	330602	3085	607
Gary Gannon 4 Europe	The Gary Gannon 4 Europe Campaign	691388720903801	Facebook	m	male	IE	Ireland	7	1	647579	277777	1221	232
Mark Durkan	Fine Gael	2002340613394109	Facebook	m	male	IE	Ireland	12	1	590308	277305	4721	1959
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	m	male	IE	Ireland	4	1	569944	242221	6369	1432
Referendum Commission	Referendum Commission	580832208630212	Facebook	m	male	IE	Ireland	9	1	524857	218824	3394	660
Labour Party	Labour Party	164027949687	Facebook	m	male	IE	Ireland	9	1	497726	248865	1977	370
Frances Fitzgerald	Fine Gael	302584593224671	Facebook	m	male	IE	Ireland	2	1	493406	197363	4933	986
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	m	male	IE	Ireland	10	1	399083	150021	2816	861
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	m	male	IE	Ireland	26	1	395176	119543	3114	601
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	m	male	IE	Ireland	9	1	355698	126511	1698	294
Social Democrats	Social Democrats	1012851375393300	Facebook	m	male	IE	Ireland	37	1	307038	80349	1396	0
Andrew Doyle	Andrew Doyle	200875073325354	Facebook	m	male	IE	Ireland	10	1	258960	65759	2393	462
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	m	male	IE	Ireland	25	1	253947	62203	1902	220
Saoirse McHugh for MEP	Green Party Ireland	2242183922693730	Facebook	m	male	IE	Ireland	9	1	242695	87007	1978	514
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	m	male	IE	Ireland	5	1	240424	98179	1566	490
Sean Kelly MEP	Sean Kelly MEP	340786422717552	Facebook	m	male	IE	Ireland	45	1	221992	67883	2422	118
Sheila Nunan for Europe	The Labour Party	786865738356162	Facebook	m	male	IE	Ireland	1	1	208791	83516	2087	417
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	IE	Ireland	21	1	154926	43684	1164	86
Brendan Smith TD	Brendan Smith 	287458667963046	Facebook	m	male	IE	Ireland	2	1	143447	71724	501	100
