week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	FI	Finland	765	119	984620	230355	19946	833
w019	Week 19	2019-05-06	2019-05-12	FI	Finland	1217	158	8909943	2624214	110209	9373
w018	Week 18	2019-04-29	2019-05-05	FI	Finland	789	168	9164647	3830645	82282	22843
w017	Week 17	2019-04-22	2019-04-28	FI	Finland	508	142	2682187	1013927	28155	6472
w016	Week 16	2019-04-15	2019-04-21	FI	Finland	562	191	1551606	481221	19204	3009
w015	Week 15	2019-04-08	2019-04-14	FI	Finland	1697	525	15848071	5204235	154475	24345
w014	Week 14	2019-04-01	2019-04-07	FI	Finland	1301	482	10305055	3559955	93309	15128
w013	Week 13	2019-03-25	2019-03-31	FI	Finland	865	352	6787603	2571512	69714	12215
w012	Week 12	2019-03-18	2019-03-24	FI	Finland	719	302	4692755	1749954	48553	7127
w011	Week 11	2019-03-11	2019-03-17	FI	Finland	412	199	1677914	561582	18326	1874
w010	Week 10	2019-03-04	2019-03-10	FI	Finland	388	170	1125658	323171	14211	717
w009	Week 9	2019-02-25	2019-03-03	FI	Finland	164	86	759216	292953	5271	890
w008	Week 8	2019-02-18	2019-02-24	FI	Finland	150	64	422500	119773	5266	516
w007	Week 7	2019-02-11	2019-02-17	FI	Finland	102	54	246485	68635	3259	146
w006	Week 6	2019-02-04	2019-02-10	FI	Finland	109	54	535679	215284	4584	387
w005	Week 5	2019-01-28	2019-02-03	FI	Finland	129	46	483127	198286	3765	390
w004	Week 4	2019-01-21	2019-01-27	FI	Finland	82	35	146639	31449	2567	177
w003	Week 3	2019-01-14	2019-01-20	FI	Finland	89	41	199154	64526	2461	243
w002	Week 2	2019-01-07	2019-01-13	FI	Finland	73	35	212264	58881	2505	273
w001	Week 1	2019-01-01	2019-01-06	FI	Finland	59	29	204446	45974	2404	237
