advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	1m_10m	1m - 10m	29	1	73551735	7355173	256026	4354
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	1m_10m	1m - 10m	58	1	70842452	7084245	348141	6115
AMERISOFT SRL		AR573801583431647232	Google	1m_10m	1m - 10m	54	1	58199179	5819917	3451	286
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	1m_10m	1m - 10m	27	1	50071369	5007136	182574	3180
Freiheitliche Partei Österreich		AR333020356698701824	Google	1m_10m	1m - 10m	12	1	22677614	2267761	128389	14083
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	1m_10m	1m - 10m	25	1	18964902	1896490	49082	1068
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	1m_10m	1m - 10m	13	1	15352542	1535254	109574	1851
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	1m_10m	1m - 10m	22	1	14248761	1424876	205302	3421
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	1m_10m	1m - 10m	45	1	13546349	1354634	4605	436
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	1m_10m	1m - 10m	11	1	10937431	1093743	1359	131
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	1m_10m	1m - 10m	31	1	9331929	933192	466	0
Partido Animalista PACMA		AR145115193901318144	Google	1m_10m	1m - 10m	5	1	9131251	913125	39640	677
Suomen Keskusta r.p.		AR441112520191639552	Google	1m_10m	1m - 10m	10	1	6823350	682335	84739	1424
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	1m_10m	1m - 10m	22	1	6622659	662265	1143	90
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	1m_10m	1m - 10m	8	1	6221290	622129	717	65
Alternativet		AR198061076825243648	Google	1m_10m	1m - 10m	8	1	6221290	622129	1259	125
Partido Popular Regional De Canarias		AR288284801977286656	Google	1m_10m	1m - 10m	16	1	4816479	481647	1595	150
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	1m_10m	1m - 10m	3	1	4716140	471614	21523	371
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	1m_10m	1m - 10m	15	1	4515449	451544	55540	1038
Arnora Oy		AR181544213152792576	Google	1m_10m	1m - 10m	1	1	4114080	411408	205	20
COALICION CANARIA		AR489541609348661248	Google	1m_10m	1m - 10m	11	1	3311329	331132	10265	270
SOCIALDEMOKRATIET		AR271193993235136512	Google	1m_10m	1m - 10m	10	1	3010299	301029	90308	1505
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	1m_10m	1m - 10m	8	1	2408239	240823	255	15
