gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m	male	European Parliament		178362315106	Facebook	1800	1	129427178	57559986	681959	168338
m	male	Kialo		729627343834501	Facebook	740	1	65193990	25927766	422680	103387
m	male	Britain's Future	Britain's Future	1625300137516491	Facebook	4480	1	47647771	14806228	556707	74247
m	male	Podemos	Unidas Podemos	269212336568846	Facebook	298	1	47101993	21261993	277793	73311
m	male	People's Vote UK	People's Vote	748608695327755	Facebook	3511	1	46265663	15882665	612251	108326
m	male	Ciudadanos	Ciudadanos	74078667754	Facebook	5169	1	41858335	12698087	417833	30186
m	male	SPD	SPD	47930567748	Facebook	5797	1	27649473	8199851	566891	37527
m	male	Partido Popular	Partido Popular	72249031214	Facebook	1643	1	26237365	9849880	158882	23490
m	male	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2298	1	25877055	8895172	367855	43059
m	male	Conservatives	The Conservative Party	8807334278	Facebook	1960	1	25691197	9863839	296806	40934
m	male	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	91	1	20669322	9215810	43503	12410
m	male	sp.a	sp.a	57253967150	Facebook	418	1	19329760	7680515	89329	19262
m	male	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	19154129	7121277	51736	7020
m	male	European Commission		107898832590939	Facebook	92	1	19130908	8861304	77982	19412
m	male	CDU	CDU	78502295414	Facebook	3170	1	18957285	4546099	172342	4039
m	male	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	182	1	18951211	8578424	55279	12352
m	male	The Labour Party	The Labour Party	25749647410	Facebook	647	1	17802628	7073207	151560	32356
m	male	FDP	FDP	21289227249	Facebook	1636	1	16788152	5098516	151659	7813
m	male	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	362	1	16136888	6749627	68896	13063
m	male	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	117	1	15873416	6568453	49452	12979
m	male	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	136	1	15146681	6516483	24462	6324
m	male	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	15055682	6928968	104148	23084
m	male	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	14733184	6976176	28664	12677
