country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	ile_de_france	Île-de-France	9217	2306	20094988	7192661	203194	31454
FR	France	rhone_alpes	Rhône-Alpes	7931	1868	7176367	2602629	80623	12225
FR	France	provence_alpes_cote_dazur	Provence-Alpes-Côte d'Azur	7916	1875	3988708	1289788	38491	3825
FR	France	nord_pas_de_calais	Nord-Pas-de-Calais	7508	1766	3844049	1460648	38938	6600
FR	France	lorraine	Lorraine	7039	1646	2985914	1111099	35905	5797
FR	France	languedoc_roussillon	Languedoc-Roussillon	7222	1672	2160851	713842	25542	3351
FR	France	bretagne	Bretagne	7015	1631	2142012	728154	24040	4904
FR	France	midi_pyrenees	Midi-Pyrénées	7222	1682	2005057	671091	16255	1819
FR	France	picardie	Picardie	6670	1579	1854398	663188	22086	3402
FR	France	pays_de_la_loire	Pays de la Loire	7058	1664	1684599	611572	21813	2887
