advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	10k_50k	10k - 50k	LV	Latvia	37	1	1832776	366562	3628	0
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	10k_50k	10k - 50k	LV	Latvia	16	1	799896	159982	2383	199
Inese Ikstena Eiropas Parlamenta deputāta kandidāte		2214339072152669	Facebook	10k_50k	10k - 50k	LV	Latvia	11	1	549974	109996	1888	199
Aleksejs Loskutovs		541229793055345	Facebook	10k_50k	10k - 50k	LV	Latvia	10	1	498666	99735	1382	98
Roberts Zīle		508959865842254	Facebook	10k_50k	10k - 50k	LV	Latvia	9	1	449991	90000	1291	100
Mamikins.lv	Andrejs Mamikins	587293021433280	Facebook	10k_50k	10k - 50k	LV	Latvia	9	1	449991	90000	891	0
Ansis Pūpols	Ansis Pūpols	534110743707105	Facebook	10k_50k	10k - 50k	LV	Latvia	7	1	349993	70000	693	0
PROGRESĪVIE		184096511636333	Facebook	10k_50k	10k - 50k	LV	Latvia	7	1	349990	69999	1092	99
Eiropas Parlaments Latvijā	Eiropas Parlaments Latvijā	380325297593	Facebook	10k_50k	10k - 50k	LV	Latvia	6	1	299994	60000	1393	199
Jaunā konservatīvā partija	Jaunā konservatīvā partija	595950207185585	Facebook	10k_50k	10k - 50k	LV	Latvia	6	1	299993	60000	994	100
Andis Kudors	Jaunā konservatīvā partija	378991322688846	Facebook	10k_50k	10k - 50k	LV	Latvia	5	1	249995	50000	2095	400
European Parliament		178362315106	Facebook	10k_50k	10k - 50k	LV	Latvia	6	1	200387	40078	396	0
Attīstībai / Par	partiju apvienība "Attīstībai/Par!"	634097313600056	Facebook	10k_50k	10k - 50k	LV	Latvia	4	1	199996	40000	796	100
Krišjānis Feldmans	Jaunā konservatīvā partija	731540813660862	Facebook	10k_50k	10k - 50k	LV	Latvia	4	1	199959	39992	395	0
Ijabs Ivars		345347539390006	Facebook	10k_50k	10k - 50k	LV	Latvia	4	1	179803	35961	356	0
European Greens		141366725876424	Facebook	10k_50k	10k - 50k	LV	Latvia	7	1	151402	30281	701	100
Rihards Kols	Rihards Kols	960297957323800	Facebook	10k_50k	10k - 50k	LV	Latvia	3	1	149997	30000	297	0
Inese Vaidere	Vaidere Inese	779811265442970	Facebook	10k_50k	10k - 50k	LV	Latvia	3	1	149997	30000	697	100
Sandra Kalniete	Sandra Kalniete	363128980541199	Facebook	10k_50k	10k - 50k	LV	Latvia	3	1	149996	29999	296	0
Dmitrijs Golubevs	Dmitrijs Golubevs	603479506715383	Facebook	10k_50k	10k - 50k	LV	Latvia	2	1	99998	20000	598	100
Finanšu ministrija	Latvijas Republikas Finanšu ministrija	524714174238878	Facebook	10k_50k	10k - 50k	LV	Latvia	2	1	99998	20000	198	0
Jānis Grasbergs	Jānis Grasbergs	329580341010027	Facebook	10k_50k	10k - 50k	LV	Latvia	2	1	99998	20000	198	0
Русский союз Латвии	Latvijas Krievu savienība	545693602214498	Facebook	10k_50k	10k - 50k	LV	Latvia	2	1	99998	20000	598	100
LViedvesmo		1948718882070549	Facebook	10k_50k	10k - 50k	LV	Latvia	2	1	99998	19999	198	0
Kialo		729627343834501	Facebook	10k_50k	10k - 50k	LV	Latvia	175	1	99565	19913	634	114
