advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	25_34	25-34	PT	Portugal	369	1	1953698	820072	9244	2262
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	25_34	25-34	PT	Portugal	63	1	1691844	744193	2066	264
European Parliament		178362315106	Facebook	25_34	25-34	PT	Portugal	34	1	1274052	577319	4916	1117
European Commission		107898832590939	Facebook	25_34	25-34	PT	Portugal	6	1	550128	269066	680	278
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	25_34	25-34	PT	Portugal	46	1	396688	180769	761	189
National Geographic		107307059419	Facebook	25_34	25-34	PT	Portugal	4	1	311221	153920	141	26
The Bamboo Brush Society		1152885191422950	Facebook	25_34	25-34	PT	Portugal	34	1	275347	109514	757	84
Parlamento Europeu - Gabinete em Portugal	Parlamento Europeu - Gabinete em Portugal	170555122972051	Facebook	25_34	25-34	PT	Portugal	1	1	239387	119693	239	119
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	25_34	25-34	PT	Portugal	23	1	182316	76691	547	113
Uiu		907141939410106	Facebook	25_34	25-34	PT	Portugal	4	1	176470	68087	188	32
Greens/EFA in the European Parliament		150527751674751	Facebook	25_34	25-34	PT	Portugal	37	1	158228	63269	193	25
Fundação Calouste Gulbenkian		49386033906	Facebook	25_34	25-34	PT	Portugal	1	1	144367	72183	72	14
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	25_34	25-34	PT	Portugal	54	1	128839	56526	586	122
European Youth Event		919232861444360	Facebook	25_34	25-34	PT	Portugal	7	1	106372	46122	235	53
Página Miguel Viegas		194651341130667	Facebook	25_34	25-34	PT	Portugal	13	1	93679	37598	318	51
VoteWatch Europe		355087424564148	Facebook	25_34	25-34	PT	Portugal	5	1	91050	37712	193	78
Democracia para todos		141310866605696	Facebook	25_34	25-34	PT	Portugal	14	1	76806	24870	285	15
MEO		69209479569	Facebook	25_34	25-34	PT	Portugal	4	1	75796	29528	134	40
Carlos Coelho		306796832807017	Facebook	25_34	25-34	PT	Portugal	6	1	74511	37256	355	71
E-Gender WebES		308175426456924	Facebook	25_34	25-34	PT	Portugal	6	1	71082	15694	362	37
350.org		12185972707	Facebook	25_34	25-34	PT	Portugal	28	1	65974	16477	321	46
Guardian Weekly		64525551258	Facebook	25_34	25-34	PT	Portugal	8	1	64874	25476	111	31
Esquerda Net	Esquerda Net	116426248469551	Facebook	25_34	25-34	PT	Portugal	4	1	60186	28633	324	148
Stone Brewing Spain		1619410238105995	Facebook	25_34	25-34	PT	Portugal	1	1	58733	23493	11	0
Rios Livres		247517791943794	Facebook	25_34	25-34	PT	Portugal	8	1	57263	21373	167	16
