advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	d038	2019-02-07	LV	Latvia	3	1	2223	1111	33	6
Hanno Pevkur  #pevkur		1914863625428136	Facebook	d038	2019-02-07	LV	Latvia	1	1	258	51	5	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d038	2019-02-07	LV	Latvia	2	1	96	19	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	d038	2019-02-07	LV	Latvia	1	1	30	6	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d038	2019-02-07	LV	Latvia	1	1	21	10	0	0
OZY		1393911800825140	Facebook	d038	2019-02-07	LV	Latvia	1	1	16	3	0	0
Le Monde		14892757589	Facebook	d038	2019-02-07	LV	Latvia	5	1	4	1	0	0
FT Content Solutions		1220981994590364	Facebook	d038	2019-02-07	LV	Latvia	2	1	2	0	0	0
RSM MBA		110428762358678	Facebook	d038	2019-02-07	LV	Latvia	2	1	2	0	0	0
Soviet Visuals		1160495674016675	Facebook	d038	2019-02-07	LV	Latvia	4	1	1	0	0	0
Kaar Kaas Sonn		215255338679306	Facebook	d038	2019-02-07	LV	Latvia	1	1	1	0	0	0
Columbia University in the City of New York		102471088936	Facebook	d038	2019-02-07	LV	Latvia	1	1	1	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d038	2019-02-07	LV	Latvia	2	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	d038	2019-02-07	LV	Latvia	2	1	0	0	0	0
YOGA BURN		146316959083110	Facebook	d038	2019-02-07	LV	Latvia	1	1	0	0	0	0
Harvard Business Review		10423517786	Facebook	d038	2019-02-07	LV	Latvia	1	1	0	0	0	0
Columbia Alumni Association		195421575197	Facebook	d038	2019-02-07	LV	Latvia	2	1	0	0	0	0
