advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	rm2	Last 2 months	EE	Estonia	36	1	2228959	829998	7263	1199
Igor Gräzin	Igor Gräzin	339367456669277	Facebook	rm2	Last 2 months	EE	Estonia	30	1	2176970	915000	6570	900
Isamaa erakond	Isamaa erakond	321163977576	Facebook	rm2	Last 2 months	EE	Estonia	10	1	1750989	729999	5190	1599
European Parliament		178362315106	Facebook	rm2	Last 2 months	EE	Estonia	19	1	1545551	684335	15582	3951
Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	rm2	Last 2 months	EE	Estonia	79	1	1327618	346956	8608	200
Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	rm2	Last 2 months	EE	Estonia	33	1	1091961	424998	5266	499
Urmas Paet	Paet Urmas	223092011815453	Facebook	rm2	Last 2 months	EE	Estonia	43	1	1090957	244000	5057	199
Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	rm2	Last 2 months	EE	Estonia	48	1	1003675	324948	10045	1599
European Greens		141366725876424	Facebook	rm2	Last 2 months	EE	Estonia	20	1	479425	206336	2066	373
Jaak Madison	Madison Jaak	536519246456733	Facebook	rm2	Last 2 months	EE	Estonia	14	1	455986	162999	2585	299
Keskerakond	Keskerakond	161252453921396	Facebook	rm2	Last 2 months	EE	Estonia	12	1	434988	123000	1188	0
Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	rm2	Last 2 months	EE	Estonia	42	1	384507	79918	6145	500
Toitumisnõustaja Erik Orgu		592673214085550	Facebook	rm2	Last 2 months	EE	Estonia	7	1	351993	130000	1493	200
Veriff		959442754113350	Facebook	rm2	Last 2 months	EE	Estonia	2	1	339129	145652	656	131
Triin Saag	Saag Triin	2012394932389774	Facebook	rm2	Last 2 months	EE	Estonia	35	1	271964	84999	3465	0
Kialo		729627343834501	Facebook	rm2	Last 2 months	EE	Estonia	248	1	223887	77898	1363	311
Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	rm2	Last 2 months	EE	Estonia	4	1	175996	57499	1471	274
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rm2	Last 2 months	EE	Estonia	14	1	151234	39519	892	0
Reformierakond	Reformierakond	80124492882	Facebook	rm2	Last 2 months	EE	Estonia	3	1	149997	29999	297	0
Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	rm2	Last 2 months	EE	Estonia	3	1	149997	30000	697	100
Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	rm2	Last 2 months	EE	Estonia	10	1	149971	35996	989	0
Riho Terras		2217643278496367	Facebook	rm2	Last 2 months	EE	Estonia	3	1	109997	25000	697	100
Rimi Eesti		217485440760	Facebook	rm2	Last 2 months	EE	Estonia	1	1	99999	49999	498	99
Noored Otsustajad	Eesti Noorteühenduste Liit (ENL)	205597239493153	Facebook	rm2	Last 2 months	EE	Estonia	2	1	99997	19999	197	0
Eiki Nestor	Sotsiaaldemokraatlik Erakond	1472281069715651	Facebook	rm2	Last 2 months	EE	Estonia	7	1	80992	18999	693	0
Ablo		299078570887332	Facebook	rm2	Last 2 months	EE	Estonia	8	1	72991	13999	791	0
