advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sosialidemokraatit SDP		108945982480217	Facebook	f	Facebook	FI	Finland	312	1	22510669	8740512	147855	33592
European Parliament		178362315106	Facebook	f	Facebook	FI	Finland	82	1	10544685	4870491	84052	30506
WWF Suomi		119054448115588	Facebook	f	Facebook	FI	Finland	25	1	7054636	3330842	27173	6599
Vihreät - De Gröna		33722070600	Facebook	f	Facebook	FI	Finland	41	1	2757006	1099565	12353	2899
Kokoomus	Kokoomus	201285237101	Facebook	f	Facebook	FI	Finland	579	1	1757421	312000	66121	2200
Keskusta	Suomen Keskusta	55312855747	Facebook	f	Facebook	FI	Finland	33	1	1273559	311317	5608	599
Kaisa Penny	Kaisa Penny	259256970891807	Facebook	f	Facebook	FI	Finland	44	1	981753	365955	5952	400
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	f	Facebook	FI	Finland	37	1	916978	333002	9269	1734
European Greens		141366725876424	Facebook	f	Facebook	FI	Finland	32	1	893894	331341	8656	2013
Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	f	Facebook	FI	Finland	14	1	779711	284911	7083	1699
Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	f	Facebook	FI	Finland	44	1	773955	225999	5155	199
Antton Rönnholm	Antton Rönnholm	575908612596562	Facebook	f	Facebook	FI	Finland	42	1	764206	237999	6483	599
Oatly		585888148224935	Facebook	f	Facebook	FI	Finland	3	1	749929	309966	5596	1099
Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	f	Facebook	FI	Finland	312	1	741687	112999	30887	0
Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	f	Facebook	FI	Finland	15	1	661903	164980	10805	2391
K-Supermarket		380462231997295	Facebook	f	Facebook	FI	Finland	6	1	649993	279999	12493	2799
Mikkel Näkkäläjärvi		617733068345315	Facebook	f	Facebook	FI	Finland	74	1	571914	137997	7725	99
Piia Kurki	Piia Kurki	270567833058986	Facebook	f	Facebook	FI	Finland	27	1	527752	131946	5468	699
Viite - Tieteen ja teknologian vihreät		73631194779	Facebook	f	Facebook	FI	Finland	6	1	524750	204902	993	99
Veli Paasimaa eduskuntaan		2500363800014955	Facebook	f	Facebook	FI	Finland	6	1	508994	201000	5493	1000
Neste		1083597725003936	Facebook	f	Facebook	FI	Finland	1	1	499999	200000	4999	1000
Eurovaaliehdokas Kari Kallonen	Kallonen Kari Markku	2130226653737235	Facebook	f	Facebook	FI	Finland	32	1	445953	100997	5167	499
Greenpeace Suomi	Greenpeace Suomi	9227859351	Facebook	f	Facebook	FI	Finland	22	1	429977	99999	4488	599
Camilla Gunell till EU 2019	Socialdemokraterna på Åland	360575481205047	Facebook	f	Facebook	FI	Finland	19	1	412856	90975	3880	499
Kialo		729627343834501	Facebook	f	Facebook	FI	Finland	336	1	411181	162821	3016	837
