spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	BE	Belgium	sp.a	sp.a	57253967150	Facebook	410	1	32403573	12304994	127889	28700
0_1k	0 - 1k	BE	Belgium	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	112	1	25827639	10697897	59585	16798
0_1k	0 - 1k	BE	Belgium	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	11643963	5531538	45181	9299
0_1k	0 - 1k	BE	Belgium	Open Vld	Open Vld	53668151866	Facebook	344	1	9364949	3375796	67151	11299
0_1k	0 - 1k	BE	Belgium	European Parliament		178362315106	Facebook	155	1	8980378	3732987	43387	10712
0_1k	0 - 1k	BE	Belgium	Groen	Groen	84920854319	Facebook	183	1	7822064	2766422	37503	5399
0_1k	0 - 1k	BE	Belgium	Peter Mertens	PVDA	236485149843971	Facebook	573	1	7073040	2059042	86327	8787
0_1k	0 - 1k	BE	Belgium	John Crombez	sp.a	264131406977201	Facebook	84	1	6638915	2685999	36815	7399
0_1k	0 - 1k	BE	Belgium	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	74	1	5985926	2565000	39725	14700
0_1k	0 - 1k	BE	Belgium	IKEA	IKEA	112961202185776	Facebook	78	1	5070907	1930992	19621	3799
0_1k	0 - 1k	BE	Belgium	Vlaams Belang	Vlaams Belang	56605856504	Facebook	35	1	4825965	2008000	21965	8200
0_1k	0 - 1k	BE	Belgium	DéFI	DéFI	173518112695794	Facebook	151	1	4252627	1004943	26247	3099
0_1k	0 - 1k	BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	127	1	4251788	1415978	37170	8899
0_1k	0 - 1k	BE	Belgium	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	87	1	4246912	1642999	11013	600
0_1k	0 - 1k	BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	106	1	4100283	1328539	22383	3798
0_1k	0 - 1k	BE	Belgium	Sign for my Future		1345513882259768	Facebook	67	1	3856933	1543000	25233	7400
0_1k	0 - 1k	BE	Belgium	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	13	1	3149819	1329962	10485	4499
0_1k	0 - 1k	BE	Belgium	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	71	1	2759909	930996	26928	7999
