day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d106	2019-04-16	Ciudadanos	Ciudadanos	74078667754	Facebook	597	1	11180403	3251000	77003	5300
d106	2019-04-16	Partido Popular	Partido Popular	72249031214	Facebook	832	1	5092149	1307083	29108	599
d106	2019-04-16	SPD	SPD	47930567748	Facebook	505	1	4318495	1276000	75495	7300
d106	2019-04-16	AMERISOFT SRL		AR573801583431647232	Google	64	1	4112654	409435	422	16
d106	2019-04-16	Greenpeace France		39435457457	Facebook	11	1	4049611	2021166	20453	4016
d106	2019-04-16	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	25	1	2749484	269393	9056	196
d106	2019-04-16	COALICION CANARIA		AR489541609348661248	Google	953	1	2452085	111012	9534	65
d106	2019-04-16	Future Innovation SRL		AR474748779908562944	Google	7	1	2428260	242826	8333	140
d106	2019-04-16	Kialo		729627343834501	Facebook	21	1	2399979	1005000	11286	2421
d106	2019-04-16	România în primul rând	Future Innovation	770704223323599	Facebook	27	1	1951072	812666	1774	507
d106	2019-04-16	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	23	1	1842492	827499	3563	773
d106	2019-04-16	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	108	1	1530000	151999	13810	363
d106	2019-04-16	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	100	1	1246797	117557	2138	67
d106	2019-04-16	European Commission		107898832590939	Facebook	66	1	1143867	519523	4345	1162
d106	2019-04-16	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	3	1	1074205	529126	2256	1081
d106	2019-04-16	Lilian Marijnissen	SP	844559615710915	Facebook	9	1	905991	341000	3291	600
d106	2019-04-16	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	47	1	779330	76407	203	9
d106	2019-04-16	Apodemia		115927088504184	Facebook	2	1	699998	300000	198	0
d106	2019-04-16	Smart Money		301938383792173	Facebook	5	1	699995	350000	15127	3560
d106	2019-04-16	sp.a	sp.a	57253967150	Facebook	97	1	665412	257400	3121	700
d106	2019-04-16	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	12	1	656662	315833	1995	488
d106	2019-04-16	Katarina Barley	SPD	1522202731410785	Facebook	18	1	550982	197000	3382	400
d106	2019-04-16	Un país moderno	Unidas Podemos	577723459314066	Facebook	29	1	537613	242178	3466	643
d106	2019-04-16	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	3	1	533332	249999	1999	400
d106	2019-04-16	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	13	1	484995	175000	1030	313
