advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	w016	Week 16	211	1	75947861	7547208	368002	7260
Future Innovation SRL		AR474748779908562944	Google	w016	Week 16	12	1	55199374	5519937	50164	853
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	w016	Week 16	30	1	38265544	3826554	75026	1341
AMERISOFT SRL		AR573801583431647232	Google	w016	Week 16	84	1	28914273	2879923	2869	116
COALICION CANARIA		AR489541609348661248	Google	w016	Week 16	1987	1	18404082	781181	72751	456
Partido Animalista PACMA		AR145115193901318144	Google	w016	Week 16	7	1	17133333	1713333	63218	1096
HEADS, s.r.o.		AR356967719951663104	Google	w016	Week 16	16	1	13149704	1314602	28468	564
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	w016	Week 16	12	1	12877777	1287777	145222	2438
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	w016	Week 16	336	1	12517225	1104249	20138	478
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	w016	Week 16	108	1	10709999	1063999	96669	2543
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	w016	Week 16	49	1	5453406	534855	1411	65
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	w016	Week 16	37	1	5018322	500465	24596	473
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	w016	Week 16	1	1	4666666	466666	14000	233
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	w016	Week 16	26	1	3192952	314857	716	40
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	w016	Week 16	7	1	3125000	312500	7812	156
CDA Doetinchem		AR453512812329697280	Google	w016	Week 16	19	1	2857741	285483	309	24
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	w016	Week 16	3	1	2193911	219391	9768	170
Venstres Landsorganisation		AR283015942256984064	Google	w016	Week 16	35	1	2172936	199555	100860	1866
HLAS		AR312619193323225088	Google	w016	Week 16	241	1	1907537	126370	11198	333
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	w016	Week 16	24	1	1896205	188047	1018	80
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	w016	Week 16	72	1	1351522	126906	18648	357
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	w016	Week 16	12	1	1346794	134512	20745	445
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	w016	Week 16	33	1	1206401	113128	20238	457
Fondation Populaire		AR320938922932699136	Google	w016	Week 16	12	1	1126445	112385	18593	403
Suomen Keskusta r.p.		AR441112520191639552	Google	w016	Week 16	1	1	999999	99999	499	49
