advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	0_1k	0 - 1k	FI	Finland	135	1	134865	0	13365	0
Kokoomus		201285237101	Facebook	0_1k	0 - 1k	FI	Finland	112	1	111888	0	11088	0
Vasemmistoliitto		60390955171	Facebook	0_1k	0 - 1k	FI	Finland	46	1	45953	0	4553	0
Sosialidemokraatit SDP		108945982480217	Facebook	0_1k	0 - 1k	FI	Finland	26	1	25974	0	2574	0
Tanja Vahvelainen kansanedustajaehdokas		653005468206971	Facebook	0_1k	0 - 1k	FI	Finland	21	1	20978	0	2078	0
Saara Hyrkkö		250829455020050	Facebook	0_1k	0 - 1k	FI	Finland	18	1	17981	0	1782	0
Marko Ekqvist		899967553367075	Facebook	0_1k	0 - 1k	FI	Finland	17	1	16983	0	1683	0
Marisanna Jarva		134061183294108	Facebook	0_1k	0 - 1k	FI	Finland	17	1	16983	0	1683	0
Elsi Katainen		190042298268350	Facebook	0_1k	0 - 1k	FI	Finland	15	1	14974	0	1483	0
Mikkel Näkkäläjärvi		617733068345315	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12987	0	1287	0
Helena Särkijärvi		578535298893731	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12987	0	1287	0
Vihreät nuoret		362064961211	Facebook	0_1k	0 - 1k	FI	Finland	13	1	12976	0	1285	0
XAMK - Kaakkois-Suomen ammattikorkeakoulu		1713318895550712	Facebook	0_1k	0 - 1k	FI	Finland	12	1	11988	0	1188	0
Stina Wahlsten		247410845719596	Facebook	0_1k	0 - 1k	FI	Finland	11	1	10988	0	1088	0
European Parliament		178362315106	Facebook	0_1k	0 - 1k	FI	Finland	9	1	8991	0	891	0
Kaisa Penny		259256970891807	Facebook	0_1k	0 - 1k	FI	Finland	9	1	8991	0	891	0
Happiness Initiation		642874789462468	Facebook	0_1k	0 - 1k	FI	Finland	8	1	7992	0	517	0
Janika Takatalo	Takatalo Janika Emmi Kristiina	1380023342235751	Facebook	0_1k	0 - 1k	FI	Finland	8	1	7991	0	791	0
Parempi tulevaisuus		587353418318027	Facebook	0_1k	0 - 1k	FI	Finland	8	1	7991	0	791	0
Paula Aikio-Tallgren EU-vaaliehdokas	Pohjoisen asian osaajat ry	510346432432044	Facebook	0_1k	0 - 1k	FI	Finland	8	1	7989	0	791	0
Henrik Wickström		448116415229902	Facebook	0_1k	0 - 1k	FI	Finland	7	1	6993	0	693	0
Tobias Simon - Vihreät De Grönä		600039880201042	Facebook	0_1k	0 - 1k	FI	Finland	7	1	6993	0	693	0
Keräyslava Oy		764030493682447	Facebook	0_1k	0 - 1k	FI	Finland	7	1	6993	0	693	0
Mediaplanet Stories		452253761911595	Facebook	0_1k	0 - 1k	FI	Finland	7	1	6993	0	693	0
Aura Salla		357502994332188	Facebook	0_1k	0 - 1k	FI	Finland	7	1	6991	0	692	0
