advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Romana Tomc		1025408990823719	Facebook	d042	2019-02-11	SI	Slovenia	2	1	12499	2499	24	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d042	2019-02-11	SI	Slovenia	2	1	164	80	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d042	2019-02-11	SI	Slovenia	3	1	99	38	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d042	2019-02-11	SI	Slovenia	2	1	20	4	0	0
FT Content Solutions		1220981994590364	Facebook	d042	2019-02-11	SI	Slovenia	2	1	11	2	0	0
Kaar Kaas Sonn		215255338679306	Facebook	d042	2019-02-11	SI	Slovenia	1	1	10	5	0	0
Soviet Visuals		1160495674016675	Facebook	d042	2019-02-11	SI	Slovenia	4	1	3	0	0	0
Columbia University in the City of New York		102471088936	Facebook	d042	2019-02-11	SI	Slovenia	1	1	3	1	0	0
Le Monde		14892757589	Facebook	d042	2019-02-11	SI	Slovenia	6	1	3	1	0	0
RSM MBA		110428762358678	Facebook	d042	2019-02-11	SI	Slovenia	2	1	2	1	0	0
ADAR		175390195814995	Facebook	d042	2019-02-11	SI	Slovenia	1	1	2	1	0	0
Melba Culp		902971599738051	Facebook	d042	2019-02-11	SI	Slovenia	1	1	1	0	0	0
HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	d042	2019-02-11	SI	Slovenia	2	1	1	0	0	0
Open Society Foundations		18983389920	Facebook	d042	2019-02-11	SI	Slovenia	2	1	0	0	0	0
YOGA BURN		146316959083110	Facebook	d042	2019-02-11	SI	Slovenia	1	1	0	0	0	0
Gherson		422351344832507	Facebook	d042	2019-02-11	SI	Slovenia	1	1	0	0	0	0
Harvard Business Review		10423517786	Facebook	d042	2019-02-11	SI	Slovenia	1	1	0	0	0	0
