audience_code_filter	audience_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f55_64	female (55-64)	Britain's Future	Britain's Future	1625300137516491	Facebook	3887	1	9353587	2788386	114523	16676
f55_64	female (55-64)	Ciudadanos	Ciudadanos	74078667754	Facebook	4279	1	8995360	2795800	85355	7149
f55_64	female (55-64)	Partido Popular	Partido Popular	72249031214	Facebook	2878	1	8924335	2604314	92994	4141
f55_64	female (55-64)	Podemos	Unidas Podemos	269212336568846	Facebook	214	1	6504128	2937193	44519	11788
f55_64	female (55-64)	People's Vote UK	People's Vote	748608695327755	Facebook	3282	1	5257202	1711555	81385	13938
f55_64	female (55-64)	European Parliament		178362315106	Facebook	934	1	4538134	1975030	26356	5723
f55_64	female (55-64)	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	86	1	4416422	1963465	9497	2772
f55_64	female (55-64)	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	355	1	4014670	1644218	17718	3443
f55_64	female (55-64)	The Labour Party	The Labour Party	25749647410	Facebook	609	1	3535455	1404791	31252	7149
f55_64	female (55-64)	38 Degrees	38 Degrees	200006375787	Facebook	640	1	3478614	1275477	23827	3376
f55_64	female (55-64)	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	1972	1	3270627	1044547	60328	6609
f55_64	female (55-64)	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	125	1	2964919	1238432	5586	1470
f55_64	female (55-64)	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	2864378	1351334	5992	2655
f55_64	female (55-64)	Conservatives	The Conservative Party	8807334278	Facebook	1494	1	2862763	1147484	35077	4787
f55_64	female (55-64)	SPD	SPD	47930567748	Facebook	4403	1	2773572	692743	79818	2894
f55_64	female (55-64)	Best For Britain	Best for Britain	1863944713844924	Facebook	752	1	2603062	1070950	40054	8976
f55_64	female (55-64)	România în primul rând	Future Innovation	770704223323599	Facebook	81	1	2433486	1072623	3205	737
f55_64	female (55-64)	Partito Democratico		77034286895	Facebook	137	1	2390924	1054034	9541	2340
f55_64	female (55-64)	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2173	1	2308917	714665	36412	3287
f55_64	female (55-64)	Save the Children Italia		46590675335	Facebook	45	1	2275468	1045799	11388	2797
f55_64	female (55-64)	Fidesz	Fidesz	9844779306	Facebook	76	1	2171892	1040633	7562	3722
f55_64	female (55-64)	Greenpeace France		39435457457	Facebook	124	1	2142036	976994	11750	2715
f55_64	female (55-64)	sp.a	sp.a	57253967150	Facebook	247	1	2088101	755991	12759	2566
f55_64	female (55-64)	WeWorld Onlus		299584710061488	Facebook	315	1	2069148	828286	9701	1304
f55_64	female (55-64)	Sosialidemokraatit SDP		108945982480217	Facebook	269	1	1983610	810897	11293	2421
