audience_code_filter	audience_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f13_17	female (13-17)	European Parliament		178362315106	Facebook	1035	1	6731879	2889807	20224	3629
f13_17	female (13-17)	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	13	1	2234130	975589	1789	214
f13_17	female (13-17)	Dungeon Defenders		107960282569653	Facebook	232	1	1302178	556566	2569	106
f13_17	female (13-17)	NPO Zapp		205247699486388	Facebook	2	1	1179805	589903	878	350
f13_17	female (13-17)	Greens/EFA in the European Parliament		150527751674751	Facebook	43	1	1102761	481307	1187	224
f13_17	female (13-17)	Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	92	1	965006	210839	513	149
f13_17	female (13-17)	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	55	1	883246	361880	2648	600
f13_17	female (13-17)	Caspar the Hat	Emily Doherty	261773154498428	Facebook	90	1	816496	221340	6195	0
f13_17	female (13-17)	Europäisches Parlament Österreich		124468054313069	Facebook	29	1	647117	266886	2112	767
f13_17	female (13-17)	Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	36	1	608021	273905	1900	339
f13_17	female (13-17)	Die Grünen	Die Grünen	21759893033	Facebook	85	1	492429	155048	3440	597
f13_17	female (13-17)	SPÖ	SPÖ	77393060080	Facebook	254	1	457130	155339	2439	335
f13_17	female (13-17)	Make.org	Make.org	122037308191612	Facebook	8	1	453505	207147	1387	440
f13_17	female (13-17)	Wholesome Culture		1664959567149320	Facebook	7	1	434790	194753	957	179
f13_17	female (13-17)	Adolescent Clothing		172140676309487	Facebook	1	1	375255	150102	85	0
f13_17	female (13-17)	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	18	1	362907	150435	1251	184
f13_17	female (13-17)	Knovva Academy		1619172795053683	Facebook	1	1	342837	171419	152	30
f13_17	female (13-17)	Jusos Schleswig-Holstein	Jusos Schleswig-Holstein	185490505413	Facebook	28	1	320895	63334	1100	0
f13_17	female (13-17)	Sportello Amianto Nazionale		1354625791215832	Facebook	2	1	320519	128208	319	64
f13_17	female (13-17)	Your Everyday Korean		1446749008800347	Facebook	4	1	310056	149193	182	0
f13_17	female (13-17)	UNICEF Europe & Central Asia		373536278864	Facebook	1	1	305337	122135	53	0
f13_17	female (13-17)	Claudia Gamon	NEOS	447992848717452	Facebook	255	1	299570	100524	2238	296
f13_17	female (13-17)	Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	16	1	296329	139343	1463	662
f13_17	female (13-17)	Colores Contra la Violencia		491948314339036	Facebook	31	1	283107	107147	895	31
f13_17	female (13-17)	The Trevor Project		24470472733	Facebook	1	1	278870	111548	247	49
f13_17	female (13-17)	George Simion Unire		294035851052538	Facebook	21	1	250666	89495	215	31
f13_17	female (13-17)	Sawab Center FR		1211855348956946	Facebook	7	1	237676	95804	90	17
f13_17	female (13-17)	Nomada Stowarzyszenie		114318528622863	Facebook	6	1	234974	91414	74	0
f13_17	female (13-17)	Selenacup		695110977328384	Facebook	5	1	234068	102809	330	0
f13_17	female (13-17)	U.S. Mission to NATO		67014122312	Facebook	1	1	229754	91902	40	0
