country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SI	Slovenia	w020	Week 20	2019-05-13	2019-05-15	458	72	2015986	621486	15967	515
SI	Slovenia	w019	Week 19	2019-05-06	2019-05-12	476	82	3445026	1129209	22805	1793
SI	Slovenia	w018	Week 18	2019-04-29	2019-05-05	463	102	4670493	1799887	21097	3919
SI	Slovenia	w017	Week 17	2019-04-22	2019-04-28	420	106	2936709	1177782	17983	2686
SI	Slovenia	w016	Week 16	2019-04-15	2019-04-21	412	138	815873	258245	4072	176
SI	Slovenia	w015	Week 15	2019-04-08	2019-04-14	566	206	1741187	700710	7027	952
SI	Slovenia	w014	Week 14	2019-04-01	2019-04-07	466	207	1797025	656828	6763	1070
SI	Slovenia	w013	Week 13	2019-03-25	2019-03-31	305	151	635038	226910	2227	226
SI	Slovenia	w012	Week 12	2019-03-18	2019-03-24	263	133	443255	129767	2653	96
SI	Slovenia	w011	Week 11	2019-03-11	2019-03-17	169	83	609626	202757	2264	303
SI	Slovenia	w010	Week 10	2019-03-04	2019-03-10	207	73	440975	151227	2221	158
SI	Slovenia	w009	Week 9	2019-02-25	2019-03-03	101	49	46361	14177	594	7
SI	Slovenia	w008	Week 8	2019-02-18	2019-02-24	75	43	48991	23079	219	45
SI	Slovenia	w007	Week 7	2019-02-11	2019-02-17	54	33	22439	5039	58	4
SI	Slovenia	w006	Week 6	2019-02-04	2019-02-10	54	25	227284	52827	585	35
SI	Slovenia	w005	Week 5	2019-01-28	2019-02-03	56	21	40182	10141	106	5
SI	Slovenia	w004	Week 4	2019-01-21	2019-01-27	44	17	3122	1203	17	1
SI	Slovenia	w003	Week 3	2019-01-14	2019-01-20	57	21	54029	23450	237	42
SI	Slovenia	w002	Week 2	2019-01-07	2019-01-13	43	21	60798	12326	412	1
SI	Slovenia	w001	Week 1	2019-01-01	2019-01-06	29	14	6448	2894	27	4
