advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f18_24	female (18-24)	1275	1	50743425	22710505	223662	57865
European Greens		141366725876424	Facebook	f18_24	female (18-24)	266	1	11639123	5134920	66014	15934
SPD	SPD	47930567748	Facebook	f18_24	female (18-24)	5502	1	10573341	2702877	221774	8288
Podemos	Unidas Podemos	269212336568846	Facebook	f18_24	female (18-24)	253	1	9382456	4166206	46665	11699
People's Vote UK	People's Vote	748608695327755	Facebook	f18_24	female (18-24)	3197	1	8558192	3095294	93966	17699
Best For Britain	Best for Britain	1863944713844924	Facebook	f18_24	female (18-24)	788	1	8012042	3522185	78510	19060
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f18_24	female (18-24)	1780	1	6537218	2308606	62618	9856
Greenpeace France		39435457457	Facebook	f18_24	female (18-24)	127	1	6368909	2949839	34363	7637
Partido Popular	Partido Popular	72249031214	Facebook	f18_24	female (18-24)	844	1	6215489	2313804	36665	5440
sp.a	sp.a	57253967150	Facebook	f18_24	female (18-24)	222	1	6115910	2516826	26919	5526
CDU	CDU	78502295414	Facebook	f18_24	female (18-24)	3170	1	5356413	1271286	41623	1122
PSOE	PSOE	189318235003	Facebook	f18_24	female (18-24)	328	1	4911328	1914907	15594	2697
European Commission		107898832590939	Facebook	f18_24	female (18-24)	69	1	4449187	2025993	17091	4686
Greenpeace Deutschland		22541752487	Facebook	f18_24	female (18-24)	361	1	4330105	1566229	23208	3470
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f18_24	female (18-24)	183	1	4214828	1683914	8793	1757
România în primul rând	Future Innovation	770704223323599	Facebook	f18_24	female (18-24)	66	1	4128632	1897532	2650	781
Kialo		729627343834501	Facebook	f18_24	female (18-24)	709	1	4123908	1638915	24866	5911
FDP	FDP	21289227249	Facebook	f18_24	female (18-24)	1772	1	3981740	1225088	33090	1805
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f18_24	female (18-24)	2054	1	3769810	1266595	43932	3412
Conservatives	The Conservative Party	8807334278	Facebook	f18_24	female (18-24)	1484	1	3522392	1322895	37198	4804
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f18_24	female (18-24)	124	1	3364641	1398219	10274	2743
Ciudadanos	Ciudadanos	74078667754	Facebook	f18_24	female (18-24)	3231	1	3183542	1027465	27614	2629
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f18_24	female (18-24)	74	1	3026680	1373929	18974	4697
Europees Parlement Nederland		270788920480	Facebook	f18_24	female (18-24)	52	1	2726873	1168349	23909	6063
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f18_24	female (18-24)	82	1	2668915	1224021	5348	1268
