spend_code_filter	spend_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
5k_10k	5k - 10k	Future Innovation SRL		AR474748779908562944	Google	23	1	34612310	3461231	136393	2273
5k_10k	5k - 10k	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	37	1	31508865	3150886	219415	3656
5k_10k	5k - 10k	Kansallinen Kokoomus r.p.		AR210958348219056128	Google	21	1	22831078	2283107	124533	2075
5k_10k	5k - 10k	European Parliament		178362315106	Facebook	17	1	11823487	5836819	124055	58454
5k_10k	5k - 10k	Freiheitliche Partei Österreich		AR333020356698701824	Google	14	1	9171965	917196	83022	1383
5k_10k	5k - 10k	People's Vote UK	People's Vote	748608695327755	Facebook	61	1	8752321	3879702	120932	25653
5k_10k	5k - 10k	Best For Britain	Best for Britain	1863944713844924	Facebook	49	1	8095217	3748046	99205	24231
5k_10k	5k - 10k	Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	22	1	7906867	790686	130463	2174
5k_10k	5k - 10k	Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	14	1	7535244	753129	83022	1383
5k_10k	5k - 10k	Conservatives	The Conservative Party	8807334278	Facebook	29	1	6562897	3060423	57045	11411
5k_10k	5k - 10k	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	5	1	6147589	614758	29650	494
5k_10k	5k - 10k	Podemos	Unidas Podemos	269212336568846	Facebook	6	1	5999994	3000000	59994	30000
5k_10k	5k - 10k	Suomen Keskusta r.p.		AR441112520191639552	Google	10	1	3577857	357785	59301	988
5k_10k	5k - 10k	The Labour Party	The Labour Party	25749647410	Facebook	19	1	2856388	1207166	37374	7476
5k_10k	5k - 10k	UK government	UK government	408582579294175	Facebook	16	1	2845370	1242134	33352	9595
5k_10k	5k - 10k	The Brexit Party	The Brexit Party	230416667843105	Facebook	23	1	2706065	1302029	46652	11525
5k_10k	5k - 10k	Partido Animalista PACMA		AR145115193901318144	Google	4	1	2569731	256973	23720	395
5k_10k	5k - 10k	NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	2	1	2174388	217438	11860	197
5k_10k	5k - 10k	SOCIALDEMOKRATIET		AR271193993235136512	Google	11	1	1996483	199648	65231	1087
5k_10k	5k - 10k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	21	1	1975549	892236	41778	9088
5k_10k	5k - 10k	Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	7	1	1530209	680094	13769	2754
5k_10k	5k - 10k	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	11	1	1407323	635654	22577	5978
5k_10k	5k - 10k	Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	9	1	1245331	124533	53371	889
5k_10k	5k - 10k	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	7	1	1205797	120579	41511	691
5k_10k	5k - 10k	Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	5	1	1190162	544075	9835	1967
5k_10k	5k - 10k	Liberal Alliance		AR183859784640888832	Google	6	1	1186030	118603	35580	593
5k_10k	5k - 10k	SPD		AR456734381399080960	Google	12	1	1126728	112672	71161	1186
5k_10k	5k - 10k	Mayor of London	the Greater London Authority	360322167647280	Facebook	6	1	1088148	476065	11802	2360
5k_10k	5k - 10k	London Gov	the Greater London Authority	713179875369048	Facebook	5	1	1020139	442061	9835	1967
5k_10k	5k - 10k	Facebook Brussels	Facebook	287739491272583	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Les Energies du Soleil		1684031805239401	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Partito Democratico		77034286895	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Partido Popular	Partido Popular	72249031214	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Irene Montero	Unidas Podemos	699285113542248	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	European Commission		107898832590939	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Les Antagonistes		398415124026017	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	SOS Racisme		166294396737151	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Santesano		316620582266150	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	France Soleil		1928798227141536	Facebook	1	1	999999	500000	9999	5000
5k_10k	5k - 10k	Oxfam Novib		115289021825188	Facebook	2	1	999998	400000	19998	10000
5k_10k	5k - 10k	Venstres Landsorganisation		AR283015942256984064	Google	10	1	909289	90928	59301	988
5k_10k	5k - 10k	38 Degrees	38 Degrees	200006375787	Facebook	5	1	850115	340047	9835	1967
5k_10k	5k - 10k	Asthma UK	Asthma UK	40952091012	Facebook	4	1	748102	340047	7868	1573
5k_10k	5k - 10k	Labour Future	Labour Future	112846662487263	Facebook	3	1	680092	306042	5901	1180
5k_10k	5k - 10k	Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	4	1	612782	61278	23720	395
5k_10k	5k - 10k	Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	4	1	612782	61278	23720	395
5k_10k	5k - 10k	Scientists for EU	Scientists for EU	642444842524195	Facebook	4	1	578078	238032	7868	1573
5k_10k	5k - 10k	5Pillars	5 Pillars	490858150969676	Facebook	3	1	578078	272037	5901	1180
5k_10k	5k - 10k	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	4	1	548475	249307	6676	1335
5k_10k	5k - 10k	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	3	1	510069	204028	5901	1180
5k_10k	5k - 10k	Avaaz	Avaaz	8340223883	Facebook	2	1	510069	238032	3934	786
5k_10k	5k - 10k	Kialo		729627343834501	Facebook	4	1	508476	254238	4525	2263
5k_10k	5k - 10k	Sosialidemokraatit SDP		108945982480217	Facebook	1	1	499999	200000	9999	5000
5k_10k	5k - 10k	Photovoltaik Angebote		154225911862559	Facebook	1	1	499999	200000	9999	5000
5k_10k	5k - 10k	Patryk Jaki		199877710116314	Facebook	1	1	499992	249996	5815	1163
5k_10k	5k - 10k	Game of Sultans		185311195624361	Facebook	2	1	479594	233441	19647	4269
5k_10k	5k - 10k	Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	5	1	454644	45464	29650	494
5k_10k	5k - 10k	TheArticle	TheArticle	607840469632004	Facebook	5	1	442059	204028	9835	1967
5k_10k	5k - 10k	Jukka Kopra		AR232680299937398784	Google	4	1	434877	43487	23720	395
5k_10k	5k - 10k	Saku Petteri Räty		AR196651502918434816	Google	2	1	395343	39534	11860	197
5k_10k	5k - 10k	DOPRAVA		AR56197688563073024	Google	2	1	395343	39534	11860	197
5k_10k	5k - 10k	Sozialdemokratische Partei Österreich		AR89974685768351744	Google	2	1	395343	39534	11860	197
5k_10k	5k - 10k	Start Business Hellas Single Member P.C.		AR513164341793521664	Google	2	1	395343	39534	11860	197
5k_10k	5k - 10k	London Conservatives	London Conservatives	660899050767643	Facebook	4	1	391052	156421	7868	1573
5k_10k	5k - 10k	Amnesty International UK		7624294394	Facebook	2	1	380618	173307	4403	1611
5k_10k	5k - 10k	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	4	1	374050	170023	7868	1573
5k_10k	5k - 10k	Greenpeace UK	Greenpeace UK 	9250349228	Facebook	2	1	340046	136018	3934	786
5k_10k	5k - 10k	Guardian Weekly		64525551258	Facebook	2	1	340046	136018	3934	786
5k_10k	5k - 10k	More United	More United	618113871680733	Facebook	2	1	340046	136018	3934	786
5k_10k	5k - 10k	Leave Means Leave	Leave Means Leave	1705780739687918	Facebook	2	1	340046	136018	3934	786
5k_10k	5k - 10k	Three UK		197259133622381	Facebook	1	1	340046	170023	1967	393
