advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Gouvernement	Gouvernement	392341217527576	Facebook	u45_54	unknown (45-54)	FR	France	10	1	4484	1875	13	3
European Parliament	European Parliament	178362315106	Facebook	u45_54	unknown (45-54)	FR	France	1	1	2429	1214	12	2
European Commission	European Commission	107898832590939	Facebook	u45_54	unknown (45-54)	FR	France	2	1	17	8	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	u45_54	unknown (45-54)	FR	France	2	1	11	4	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	u45_54	unknown (45-54)	FR	France	1	1	10	5	0	0
Cogito	Cogito	2059332547662115	Facebook	u45_54	unknown (45-54)	FR	France	1	1	10	5	0	0
Soutien À Mennel Ibtissem		191427421448414	Facebook	u45_54	unknown (45-54)	FR	France	1	1	6	1	0	0
Solutions Énergétiques de France		146021859351766	Facebook	u45_54	unknown (45-54)	FR	France	1	1	1	0	0	0
Gilets jaunes Dreux 28	Andrei Vladimirovitch Goultsev	973394992846401	Facebook	u45_54	unknown (45-54)	FR	France	1	1	1	0	0	0
Uwe Conradt: Saarbrücken - gemeinsam - voran.	CDU Saarbrücken Stadt	577254072692345	Facebook	u45_54	unknown (45-54)	FR	France	2	1	0	0	0	0
Barbara Meyer-Gluche	B90/Grüne Saarbrücken	183342321839259	Facebook	u45_54	unknown (45-54)	FR	France	1	1	0	0	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	u45_54	unknown (45-54)	FR	France	2	1	0	0	0	0
Hendrik Bogaert	Bogaert Hendrik Frank	277636928983663	Facebook	u45_54	unknown (45-54)	FR	France	1	1	0	0	0	0
Denis Itxaso	PSE -EE	107905879550963	Facebook	u45_54	unknown (45-54)	FR	France	2	1	0	0	0	0
Markel Olano	EAJ-PNV	898191063533170	Facebook	u45_54	unknown (45-54)	FR	France	2	1	0	0	0	0
Open Vld	Open Vld	53668151866	Facebook	u45_54	unknown (45-54)	FR	France	1	1	0	0	0	0
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	u45_54	unknown (45-54)	FR	France	1	1	0	0	0	0
