advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm3	Last 3 months	CY	Cyprus	20	1	3173218	1422469	16635	4394
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	rm3	Last 3 months	CY	Cyprus	87	1	2649850	790147	9772	299
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	rm3	Last 3 months	CY	Cyprus	30	1	1539711	573491	5722	699
European Parliament Office in Cyprus		205478755729	Facebook	rm3	Last 3 months	CY	Cyprus	9	1	1498460	659277	6983	1298
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	rm3	Last 3 months	CY	Cyprus	74	1	1459849	319980	7324	0
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	rm3	Last 3 months	CY	Cyprus	22	1	1070369	410934	3381	299
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	rm3	Last 3 months	CY	Cyprus	22	1	964655	228535	2163	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	rm3	Last 3 months	CY	Cyprus	26	1	898859	217974	2973	99
Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	rm3	Last 3 months	CY	Cyprus	30	1	869864	184976	2969	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	rm3	Last 3 months	CY	Cyprus	24	1	802794	171963	2375	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	rm3	Last 3 months	CY	Cyprus	33	1	640872	145980	3266	0
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	rm3	Last 3 months	CY	Cyprus	45	1	557906	155985	4454	0
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	rm3	Last 3 months	CY	Cyprus	9	1	529545	204799	890	0
γυρίζουμε		278308089460720	Facebook	rm3	Last 3 months	CY	Cyprus	6	1	499467	220182	3382	780
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	rm3	Last 3 months	CY	Cyprus	17	1	469879	108977	1682	0
AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	rm3	Last 3 months	CY	Cyprus	6	1	460189	211606	1391	199
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	rm3	Last 3 months	CY	Cyprus	16	1	451893	128980	1583	0
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	rm3	Last 3 months	CY	Cyprus	12	1	429895	91981	1187	0
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	rm3	Last 3 months	CY	Cyprus	12	1	429699	91940	1187	0
UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	rm3	Last 3 months	CY	Cyprus	7	1	427309	184337	762	40
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rm3	Last 3 months	CY	Cyprus	5	1	365413	155937	2740	531
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	rm3	Last 3 months	CY	Cyprus	38	1	292792	133083	455	121
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	rm3	Last 3 months	CY	Cyprus	21	1	266977	57999	2078	0
European Greens		141366725876424	Facebook	rm3	Last 3 months	CY	Cyprus	10	1	227320	88424	818	189
Power Beach		484571345318227	Facebook	rm3	Last 3 months	CY	Cyprus	1	1	199485	99743	98	0
