advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Budapest 10-es Választókerület		757956501234552	Facebook	d045	2019-02-14	HU	Hungary	1	1	24999	5000	77	15
Dr. Czeglédy Csaba		360876591136521	Facebook	d045	2019-02-14	HU	Hungary	1	1	16666	3333	29	0
Solar Express KFT		721976974593091	Facebook	d045	2019-02-14	HU	Hungary	1	1	3846	1923	5	1
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d045	2019-02-14	HU	Hungary	3	1	1236	470	8	2
Gyuris Dávid		326632861287187	Facebook	d045	2019-02-14	HU	Hungary	1	1	999	200	3	0
5Pillars	5 Pillars	490858150969676	Facebook	d045	2019-02-14	HU	Hungary	1	1	459	229	2	1
Dr. Molnár Csaba	Demokratikus Koalíció	306318386058001	Facebook	d045	2019-02-14	HU	Hungary	1	1	399	200	3	0
Európai Parlament Tájékoztatási Irodája	Európai Parlament Tájékoztatási Irodája	126893087354793	Facebook	d045	2019-02-14	HU	Hungary	1	1	96	48	0	0
Melba Culp		902971599738051	Facebook	d045	2019-02-14	HU	Hungary	3	1	92	18	0	0
USR Diaspora	Uniunea Salvați România - USR	1793510380925494	Facebook	d045	2019-02-14	HU	Hungary	1	1	84	42	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	d045	2019-02-14	HU	Hungary	1	1	77	38	0	0
Le Monde		14892757589	Facebook	d045	2019-02-14	HU	Hungary	6	1	29	11	0	0
FT Content Solutions		1220981994590364	Facebook	d045	2019-02-14	HU	Hungary	2	1	17	3	0	0
Columbia University in the City of New York		102471088936	Facebook	d045	2019-02-14	HU	Hungary	1	1	12	5	0	0
Soviet Visuals		1160495674016675	Facebook	d045	2019-02-14	HU	Hungary	4	1	9	1	0	0
RSM MBA		110428762358678	Facebook	d045	2019-02-14	HU	Hungary	2	1	7	3	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d045	2019-02-14	HU	Hungary	2	1	3	0	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	d045	2019-02-14	HU	Hungary	2	1	3	0	0	0
Open Society Foundations		18983389920	Facebook	d045	2019-02-14	HU	Hungary	2	1	1	0	0	0
Harvard Business Review		10423517786	Facebook	d045	2019-02-14	HU	Hungary	1	1	1	0	0	0
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	d045	2019-02-14	HU	Hungary	1	1	0	0	0	0
Ivan ŠTEFANEC		324560137683033	Facebook	d045	2019-02-14	HU	Hungary	1	1	0	0	0	0
YOGA BURN		146316959083110	Facebook	d045	2019-02-14	HU	Hungary	1	1	0	0	0	0
Roposo - TV By The People		574950735891850	Facebook	d045	2019-02-14	HU	Hungary	1	1	0	0	0	0
Shitcoinlovers.shop		243275546399349	Facebook	d045	2019-02-14	HU	Hungary	1	1	0	0	0	0
Columbia Alumni Association		195421575197	Facebook	d045	2019-02-14	HU	Hungary	2	1	0	0	0	0
