week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	DK	Denmark	2907	371	15813808	5012958	135214	34603
w019	Week 19	2019-05-06	2019-05-12	DK	Denmark	3581	425	36744155	11795494	350196	87928
w018	Week 18	2019-04-29	2019-05-05	DK	Denmark	2779	392	14626645	4523109	126071	30557
w017	Week 17	2019-04-22	2019-04-28	DK	Denmark	2339	388	10561504	3232288	91595	23066
w016	Week 16	2019-04-15	2019-04-21	DK	Denmark	1993	396	7539084	2371461	75466	18964
w015	Week 15	2019-04-08	2019-04-14	DK	Denmark	1906	494	5202861	1629860	49148	10712
w014	Week 14	2019-04-01	2019-04-07	DK	Denmark	1351	438	4692595	1365376	52216	11473
w013	Week 13	2019-03-25	2019-03-31	DK	Denmark	1043	349	4409654	1401439	45241	10215
w012	Week 12	2019-03-18	2019-03-24	DK	Denmark	936	322	3937538	1228834	40165	8770
w011	Week 11	2019-03-11	2019-03-17	DK	Denmark	827	286	3914171	1220716	35869	7958
w010	Week 10	2019-03-04	2019-03-10	DK	Denmark	860	284	4849115	1456417	43453	9113
w009	Week 9	2019-02-25	2019-03-03	DK	Denmark	447	152	1765358	493980	16943	4020
w008	Week 8	2019-02-18	2019-02-24	DK	Denmark	367	99	1339309	394233	9874	1968
w007	Week 7	2019-02-11	2019-02-17	DK	Denmark	301	74	1212759	379718	10244	1987
w006	Week 6	2019-02-04	2019-02-10	DK	Denmark	239	63	1016267	317066	7424	1808
w005	Week 5	2019-01-28	2019-02-03	DK	Denmark	250	60	782105	235956	6322	1455
w004	Week 4	2019-01-21	2019-01-27	DK	Denmark	186	52	622837	187666	4189	978
w003	Week 3	2019-01-14	2019-01-20	DK	Denmark	167	51	538816	204799	4022	1213
w002	Week 2	2019-01-07	2019-01-13	DK	Denmark	116	44	446311	123839	3988	802
w001	Week 1	2019-01-01	2019-01-06	DK	Denmark	82	35	324559	83421	3401	609
