advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	18_24	18-24	420	1	18380286	8508038	119322	27756
European Commission	European Commission	107898832590939	Facebook	18_24	18-24	92	1	14767697	6903677	45949	11621
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	18_24	18-24	5216	1	13580234	3734513	204785	8912
European Greens	European Greens	141366725876424	Facebook	18_24	18-24	81	1	11957059	5430198	93397	21340
CDU	CDU	78502295414	Facebook	18_24	18-24	14076	1	11138785	2379829	369662	883
Best For Britain	Best for Britain	1863944713844924	Facebook	18_24	18-24	94	1	8954988	3816507	68303	15738
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	18_24	18-24	3813	1	7095872	1826962	172477	5352
SPD	SPD	47930567748	Facebook	18_24	18-24	4411	1	6656205	1626078	146347	2893
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	18_24	18-24	291	1	6355020	2591762	28668	5592
Avaaz	Avaaz	8340223883	Facebook	18_24	18-24	117	1	5388924	2325015	31020	7457
Gouvernement	Gouvernement	392341217527576	Facebook	18_24	18-24	12	1	5155969	2348135	30203	6403
FDP	FDP	21289227249	Facebook	18_24	18-24	1930	1	5089164	1491254	60792	2069
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	18_24	18-24	60	1	4807539	2123772	33152	7254
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	18_24	18-24	59	1	4276826	1856585	24882	6064
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	18_24	18-24	62	1	4078291	1780504	11994	2929
Fidesz	Fidesz	9844779306	Facebook	18_24	18-24	104	1	3946852	1700540	19563	8343
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	18_24	18-24	134	1	3365545	1489003	8593	3655
Katarina Barley	SPD	1522202731410785	Facebook	18_24	18-24	836	1	3332622	838482	37090	1567
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	18_24	18-24	44	1	3327369	1510421	37011	8367
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	18_24	18-24	127	1	3065973	1281125	24232	6046
Open Vld	Open Vld	53668151866	Facebook	18_24	18-24	97	1	3028758	1249653	32469	7843
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	18_24	18-24	218	1	2800880	1156765	43038	10309
Vlaams Belang	Vlaams Belang	56605856504	Facebook	18_24	18-24	36	1	2768969	1188515	41730	10889
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	18_24	18-24	90	1	2538662	1037723	11674	3632
CD&V	CD&V	52997544531	Facebook	18_24	18-24	120	1	2529058	900922	17879	3322
