day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d112	2019-04-22	CZ	Czechia	ecoFuture & E.ON Energy Globe		104654572907664	Facebook	102	1	86185	30230	328	13
d112	2019-04-22	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	11	1	20437	8109	53	16
d112	2019-04-22	CZ	Czechia	Daniel Herman		378072105614553	Facebook	7	1	19186	7795	22	7
d112	2019-04-22	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	9	1	15220	5316	60	21
d112	2019-04-22	CZ	Czechia	Minidotaznik.cz		432692927273545	Facebook	1	1	9614	3845	17	8
d112	2019-04-22	CZ	Czechia	Stanislav Polčák		532219183564760	Facebook	2	1	9583	1916	26	6
d112	2019-04-22	CZ	Czechia	Rosatom Global		1828572300805912	Facebook	1	1	8883	4441	197	39
d112	2019-04-22	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	4	1	6784	1356	26	5
d112	2019-04-22	CZ	Czechia	Vědci pro Českou republiku		366846114139594	Facebook	1	1	6249	1249	24	4
d112	2019-04-22	CZ	Czechia	MC Hejtman		1838584856406893	Facebook	1	1	6249	1249	2	0
d112	2019-04-22	CZ	Czechia	Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	3	1	5142	1000	19	3
d112	2019-04-22	CZ	Czechia	Česká pirátská strana - Středočeský kraj		130631260290858	Facebook	1	1	4999	999	19	3
d112	2019-04-22	CZ	Czechia	YOU.and.EU	Simbartlova Anna	250361215678222	Facebook	1	1	4692	938	9	0
d112	2019-04-22	CZ	Czechia	Tomio Okamura - SPD		179497582061065	Facebook	1	1	4545	909	17	3
d112	2019-04-22	CZ	Czechia	Andrej Bóna	Vokoun Tomas	321165708610626	Facebook	1	1	4545	909	17	3
d112	2019-04-22	CZ	Czechia	KDU-ČSL	KDU-ČSL	251656685576	Facebook	15	1	4516	1072	17	3
d112	2019-04-22	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	2	1	3957	791	5	1
d112	2019-04-22	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	6	1	3839	1098	14	4
d112	2019-04-22	CZ	Czechia	HLAS	První prezidentská	320144481956623	Facebook	3	1	3749	750	14	2
d112	2019-04-22	CZ	Czechia	Agrární demokratická strana - ADS		2178756145719927	Facebook	1	1	2941	588	2	1
d112	2019-04-22	CZ	Czechia	Kialo		729627343834501	Facebook	2	1	2855	1427	12	2
d112	2019-04-22	CZ	Czechia	Matěj Trávníček		1674881296142473	Facebook	5	1	2631	1315	10	5
d112	2019-04-22	CZ	Czechia	Míša Tejmlová	Tejmlová Michaela	170261140345723	Facebook	1	1	2499	499	9	1
d112	2019-04-22	CZ	Czechia	Svoboda a přímá demokracie Tomio Okamura Liberecký kraj - SPD		1439143123070953	Facebook	1	1	1851	370	7	1
d112	2019-04-22	CZ	Czechia	Biooo - přírodní kosmetika		168384613213781	Facebook	4	1	1823	344	1	0
