week_code_filter	week_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w002	Week 2	AT	Austria	Harald Vilimsky		547597092025909	Facebook	4	1	307997	123666	2844	559
w002	Week 2	AT	Austria	Plan International Österreich		115130990779	Facebook	2	1	58943	29472	294	113
w002	Week 2	AT	Austria	KWB		134452439906870	Facebook	1	1	49998	9999	98	0
w002	Week 2	AT	Austria	Johann Gudenus		104145976305577	Facebook	12	1	38620	7953	437	43
w002	Week 2	AT	Austria	ÖGPP - Österr. Gesellschaft für Politikberatung und Politikentwicklung		345168305518984	Facebook	1	1	22580	11290	112	22
w002	Week 2	AT	Austria	C&A Foundation		1271896626240982	Facebook	1	1	11148	5574	55	11
w002	Week 2	AT	Austria	Sozialdemokratischer Wirtschaftsverband Wien		217664835989	Facebook	1	1	4999	1000	49	10
w002	Week 2	AT	Austria	Christian Pirker		200189984169557	Facebook	1	1	4998	999	98	0
w002	Week 2	AT	Austria	Maximilian Krauss		590930261019192	Facebook	10	1	4719	613	224	0
w002	Week 2	AT	Austria	Barbara Teiber		385238411972203	Facebook	1	1	4666	2333	46	0
w002	Week 2	AT	Austria	KM Technik für Sonnenschutz		1808590529357053	Facebook	1	1	4666	2333	46	0
w002	Week 2	AT	Austria	Getsocialat		348037535258910	Facebook	5	1	4107	983	28	0
w002	Week 2	AT	Austria	Udo Landbauer		494195290313	Facebook	2	1	3386	1354	44	0
w002	Week 2	AT	Austria	Gottfried Waldhäusl		627580790692097	Facebook	1	1	2380	476	23	4
w002	Week 2	AT	Austria	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	3	1	2300	1034	6	0
w002	Week 2	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	2	1	2270	454	24	4
w002	Week 2	AT	Austria	Pela Case		119283008140727	Facebook	3	1	2201	440	2	0
w002	Week 2	AT	Austria	JUNOS - Junge Liberale NEOS		274798042357	Facebook	1	1	999	200	19	0
w002	Week 2	AT	Austria	Herwig Mahr	Freiheitlicher Landtagsklub Oberösterreich	212990319049096	Facebook	2	1	599	239	7	0
w002	Week 2	AT	Austria	The Bamboo Brush Society		1152885191422950	Facebook	4	1	520	204	1	0
w002	Week 2	AT	Austria	Dean Graziosi		17457692073	Facebook	1	1	158	79	0	0
w002	Week 2	AT	Austria	Le Monde		14892757589	Facebook	6	1	118	47	0	0
w002	Week 2	AT	Austria	misterb&b		206250622847748	Facebook	1	1	102	20	0	0
w002	Week 2	AT	Austria	FT Transact		643057169228509	Facebook	1	1	102	51	0	0
w002	Week 2	AT	Austria	Soviet Visuals		1160495674016675	Facebook	3	1	97	26	0	0
