advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	50_100	50 - 100	583	1	10927622	3951485	65995	13090
AMERISOFT SRL		AR573801583431647232	Google	50_100	50 - 100	216	1	8456983	830992	1780	0
COALICION CANARIA		AR489541609348661248	Google	50_100	50 - 100	3715	1	8249678	184271	32796	0
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	50_100	50 - 100	176	1	7551574	749487	1559	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	50_100	50 - 100	849	1	6676286	556357	7069	0
Britain's Future	Britain's Future	1625300137516491	Facebook	50_100	50 - 100	3488	1	3937589	1043933	61973	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	50_100	50 - 100	143	1	3862607	373857	1213	0
Rädda Barnen		72659261793	Facebook	50_100	50 - 100	232	1	3854387	1070082	30523	6310
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	50_100	50 - 100	1489	1	3508239	99222	13076	0
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	50_100	50 - 100	3584	1	3105653	748635	63679	0
People's Vote UK	People's Vote	748608695327755	Facebook	50_100	50 - 100	2643	1	2980484	706605	46960	0
România în primul rând	Future Innovation	770704223323599	Facebook	50_100	50 - 100	45	1	2880817	1248197	2355	472
ČSSD	ČSSD	111041662264882	Facebook	50_100	50 - 100	126	1	2469580	585415	12237	2447
Plan International Sverige		382243262003	Facebook	50_100	50 - 100	141	1	2249988	565469	18130	3756
Partido Popular Regional De Canarias		AR288284801977286656	Google	50_100	50 - 100	139	1	2136836	201989	1116	0
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	50_100	50 - 100	27	1	2124955	864987	2089	417
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	50_100	50 - 100	45	1	2101942	856263	2355	472
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	50_100	50 - 100	36	1	2099951	904986	2785	557
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	50_100	50 - 100	2088	1	2036672	453803	37099	0
Dungeon Defenders		107960282569653	Facebook	50_100	50 - 100	308	1	1967057	805883	8636	1553
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	50_100	50 - 100	55	1	1922196	666537	2879	576
HLAS		AR312619193323225088	Google	50_100	50 - 100	618	1	1869289	90363	5280	0
CGTN		565225540184937	Facebook	50_100	50 - 100	7	1	1827940	872427	1291	258
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50_100	50 - 100	57	1	1794965	634993	4256	851
Gazeta Wyborcza		63563473556	Facebook	50_100	50 - 100	71	1	1787383	459336	4115	824
