platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	FR	France	Greenpeace France		39435457457	Facebook	131	1	30681378	13880965	154445	35694
f	Facebook	FR	France	European Parliament		178362315106	Facebook	88	1	17932598	8274475	97589	21843
f	Facebook	FR	France	Médecins du Monde France		265420476920	Facebook	965	1	8349705	2714565	123117	9176
f	Facebook	FR	France	Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	7359398	2879793	29526	7799
f	Facebook	FR	France	Primes écologique		152399322377561	Facebook	19	1	5154981	2131000	60081	12900
f	Facebook	FR	France	La Prime Énergie		336155273400553	Facebook	28	1	4919375	1953363	43857	9796
f	Facebook	FR	France	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	61	1	4819327	1979135	21544	4730
f	Facebook	FR	France	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	92	1	4367254	1669736	10306	299
f	Facebook	FR	France	Agence Isolation Pour Tous		568528630290119	Facebook	25	1	3577505	1480804	43668	10098
f	Facebook	FR	France	Ministère de l'Intérieur		103146727990	Facebook	32	1	3350126	1410097	17789	4179
f	Facebook	FR	France	Make.org	Make.org	122037308191612	Facebook	61	1	3348477	1409901	27660	6259
f	Facebook	FR	France	Kialo		729627343834501	Facebook	367	1	3065159	1248615	20043	4795
f	Facebook	FR	France	Aides énergétiques pour tous		789578834730248	Facebook	16	1	3063293	1255343	35663	7995
f	Facebook	FR	France	Mon Homéo Mon Choix		1643185362449069	Facebook	28	1	2890336	1142742	26566	5598
f	Facebook	FR	France	Les Energies du Soleil		1684031805239401	Facebook	14	1	2815984	1245999	33385	9900
f	Facebook	FR	France	UNICEF France		173159234432	Facebook	38	1	2288710	898902	12060	2899
f	Facebook	FR	France	Unis pour les Droits Humains		1642871805813802	Facebook	20	1	2089436	854198	1735	51
f	Facebook	FR	France	Mes économies d'énergie		124948231440251	Facebook	11	1	1949509	751928	20986	4179
f	Facebook	FR	France	2 Min Ecologie		433170297221149	Facebook	68	1	1768277	603778	19400	3494
f	Facebook	FR	France	Route Auto		252868201731333	Facebook	9	1	1754989	830999	8190	1599
f	Facebook	FR	France	Épargne Malin		1864684416941008	Facebook	19	1	1746474	760824	59384	16514
f	Facebook	FR	France	Le Monde		14892757589	Facebook	34	1	1715221	634069	3554	441
f	Facebook	FR	France	Dungeon Defenders		107960282569653	Facebook	162	1	1692450	718736	4490	491
f	Facebook	FR	France	France Soleil		1928798227141536	Facebook	12	1	1654956	795990	22587	7699
f	Facebook	FR	France	350.org		12185972707	Facebook	60	1	1601484	362769	7309	796
f	Facebook	FR	France	Céréal Bio & Céréal France		1636261843328359	Facebook	5	1	1501714	599888	7193	1999
f	Facebook	FR	France	Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	61	1	1433794	335966	13637	1899
f	Facebook	FR	France	Economiser Energie		286272318578056	Facebook	11	1	1379939	538981	16988	3300
f	Facebook	FR	France	Subventions énergétiques 2019	Primes Energetiques	1815507421886752	Facebook	110	1	1355820	309982	15689	1199
f	Facebook	FR	France	Mon Energie Verte		252140872017180	Facebook	65	1	1319830	459999	17624	3399
f	Facebook	FR	France	Le 1		850828794934579	Facebook	21	1	1315798	494933	2478	99
