advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	rd3	Last 3 days	LT	Lithuania	9	1	794996	366666	4479	1186
European Parliament	European Parliament	178362315106	Facebook	rd3	Last 3 days	LT	Lithuania	10	1	649467	305105	2782	793
Lemiamas šuolis	Rinkimų komitetas "Lemiamas šuolis"	993853767374212	Facebook	rd3	Last 3 days	LT	Lithuania	18	1	565574	196616	2543	494
Waldemar Tomaszewski / Valdemar Tomaševski	Zacharevic Raimund	169414316438308	Facebook	rd3	Last 3 days	LT	Lithuania	4	1	516665	206666	1032	516
Darbo partija	Darbo partija	264116120225	Facebook	rd3	Last 3 days	LT	Lithuania	20	1	500656	204831	1676	411
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	rd3	Last 3 days	LT	Lithuania	22	1	394019	159904	1576	263
European Commission	European Commission	107898832590939	Facebook	rd3	Last 3 days	LT	Lithuania	11	1	372305	148791	807	247
Zuokas	LLS (liberalai)	150259975018869	Facebook	rd3	Last 3 days	LT	Lithuania	4	1	299999	127500	2499	500
Už Ingridą	Ingrida Šimonytė	2214495192154107	Facebook	rd3	Last 3 days	LT	Lithuania	18	1	285273	62226	742	0
Viktoras Uspaskich	Darbo partija	160851767470	Facebook	rd3	Last 3 days	LT	Lithuania	9	1	234064	109141	1199	280
Europos Parlamento biuras Lietuvoje	Europos Parlamento biuras Lietuvoje	188014250186	Facebook	rd3	Last 3 days	LT	Lithuania	11	1	229741	51750	866	0
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)	TS-LKD	198988713464683	Facebook	rd3	Last 3 days	LT	Lithuania	15	1	211494	83500	1032	120
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	rd3	Last 3 days	LT	Lithuania	7	1	170831	71666	847	158
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd3	Last 3 days	LT	Lithuania	23	1	119539	51915	860	87
European Greens	European Greens	141366725876424	Facebook	rd3	Last 3 days	LT	Lithuania	3	1	118050	58387	622	124
Rolandas Paksas	Kasparas Bertasius	171037809735454	Facebook	rd3	Last 3 days	LT	Lithuania	1	1	99999	50000	249	50
Arūnas Dudėnas	Lietuvos socialdemokratų partija - LSDP	554826057990355	Facebook	rd3	Last 3 days	LT	Lithuania	3	1	87498	17500	173	0
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	rd3	Last 3 days	LT	Lithuania	5	1	58831	12366	150	0
prof. dr. Vytautas Radžvilas	prof. dr. Vytautas Radžvilas	62378591336	Facebook	rd3	Last 3 days	LT	Lithuania	6	1	52081	11916	298	33
Ką dirba europarlamentarai?		288367285442553	Facebook	rd3	Last 3 days	LT	Lithuania	2	1	50331	9999	117	0
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	rd3	Last 3 days	LT	Lithuania	1	1	37499	7500	74	0
Audronius Ažubalis	Open Agency	348857818489874	Facebook	rd3	Last 3 days	LT	Lithuania	1	1	33333	16666	166	33
Aristokratas	Aristokratas	490015198110181	Facebook	rd3	Last 3 days	LT	Lithuania	3	1	30199	11999	59	0
Petras Auštrevičius	Lietuvos Respublikos liberalų sąjūdžio rinkimų sąskaita	1482024028702535	Facebook	rd3	Last 3 days	LT	Lithuania	5	1	29748	6916	123	0
Robertas Šarknickas	LVŽS	880209082011396	Facebook	rd3	Last 3 days	LT	Lithuania	5	1	28248	5649	113	0
