advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	f	Facebook	4999	1	13337001	2325000	494901	0
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	39	1	8719961	3797000	49261	14400
Gouvernement	Gouvernement	392341217527576	Facebook	f	Facebook	30	1	5509970	2225000	9570	2200
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f	Facebook	21	1	5115979	2325000	16523	4860
Fidesz	Fidesz	9844779306	Facebook	f	Facebook	18	1	3249982	1480000	14702	6530
FDP	FDP	21289227249	Facebook	f	Facebook	860	1	2859140	461000	86340	300
Avaaz	Avaaz	8340223883	Facebook	f	Facebook	10	1	2849990	1130000	4690	1200
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f	Facebook	855	1	2327145	398000	85445	200
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	f	Facebook	28	1	2264972	848000	8993	2082
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	f	Facebook	65	1	2249935	889000	5501	1799
Conservatives	The Conservative Party	8807334278	Facebook	f	Facebook	730	1	1816270	290000	84555	231
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	f	Facebook	38	1	1772962	638000	5762	500
INBOX	New Digital Media	369693523475596	Facebook	f	Facebook	15	1	1714985	743000	2285	200
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	Facebook	9	1	1619991	777000	22291	7700
The Labour Party	The Labour Party	25749647410	Facebook	f	Facebook	10	1	1549990	680000	12370	3818
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	f	Facebook	5	1	1449995	610000	3465	756
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	f	Facebook	36	1	1430964	321000	18486	3762
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	f	Facebook	19	1	1405981	551000	4694	1279
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	f	Facebook	5	1	1299995	550000	2674	535
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	f	Facebook	3	1	1199997	600000	6497	1600
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	f	Facebook	1060	1	1102940	11000	104940	0
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	f	Facebook	4	1	1100996	450000	3628	1419
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	f	Facebook	3	1	1009997	405000	10097	2000
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	f	Facebook	1	1	999999	500000	499	100
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	281	1	977719	222000	32191	0
