advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sosialidemokraatit SDP		108945982480217	Facebook	1k_5k	1k - 5k	FI	Finland	9	1	5698423	2599259	44980	8997
European Parliament		178362315106	Facebook	1k_5k	1k - 5k	FI	Finland	13	1	3904327	1901971	30026	6006
WWF Suomi		119054448115588	Facebook	1k_5k	1k - 5k	FI	Finland	3	1	2999823	1499913	14996	2999
European Greens		141366725876424	Facebook	1k_5k	1k - 5k	FI	Finland	6	1	527659	211149	5271	1054
Neste		1083597725003936	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	499999	200000	4999	1000
Veli Paasimaa eduskuntaan		2500363800014955	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	499999	200000	4999	1000
Oatly		585888148224935	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	499998	199999	4998	999
K-Supermarket		380462231997295	Facebook	1k_5k	1k - 5k	FI	Finland	2	1	399997	199999	9997	1999
Työehtoshoppailu		1602354766564898	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	199999	100000	4999	1000
Mikko Kiesiläinen		993610757425045	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	199999	100000	4999	1000
Kialo		729627343834501	Facebook	1k_5k	1k - 5k	FI	Finland	33	1	84776	38732	723	184
Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	58401	29200	2598	519
Humble Household		1746853745395190	Facebook	1k_5k	1k - 5k	FI	Finland	6	1	22498	9355	184	36
Game of Sultans		185311195624361	Facebook	1k_5k	1k - 5k	FI	Finland	6	1	12172	5109	180	60
Bikezac - By Cobags		292443537522136	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	7214	2885	19	9
Clone Evolution		1345821958781389	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	5669	2267	100	50
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	1k_5k	1k - 5k	FI	Finland	3	1	5014	2323	34	6
Rosatom Global		1828572300805912	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	4710	2355	104	20
Wholesome Culture		1664959567149320	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	4088	2044	18	3
Pologize Fashion		274227073497806	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	3639	1819	32	16
Guardian Weekly		64525551258	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	3411	1364	7	3
European Youth Event		919232861444360	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	2540	1270	12	2
Gaia		182073298490036	Facebook	1k_5k	1k - 5k	FI	Finland	2	1	1853	897	16	7
MasterClass		687589164666184	Facebook	1k_5k	1k - 5k	FI	Finland	2	1	1802	901	8	1
Web Summit		294067420659309	Facebook	1k_5k	1k - 5k	FI	Finland	1	1	1606	803	40	8
