advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm1	Last month	614	1	123941623	56096148	650231	174613
Podemos	Unidas Podemos	269212336568846	Facebook	rm1	Last month	330	1	103964243	46447714	617343	160999
Ciudadanos	Ciudadanos	74078667754	Facebook	rm1	Last month	6242	1	89850758	27272999	881158	67200
Partido Popular	Partido Popular	72249031214	Facebook	rm1	Last month	3644	1	81745355	28176999	586556	61100
SPD	SPD	47930567748	Facebook	rm1	Last month	5966	1	36180033	10905999	755134	42300
CDU	CDU	78502295414	Facebook	rm1	Last month	3170	1	30302830	7531000	313830	0
Kialo		729627343834501	Facebook	rm1	Last month	402	1	30205598	11295999	157217	35522
sp.a	sp.a	57253967150	Facebook	rm1	Last month	230	1	28650605	11948666	135971	31649
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rm1	Last month	74	1	26602925	11699999	60872	16955
PSOE	PSOE	189318235003	Facebook	rm1	Last month	334	1	24965666	10018999	77166	14100
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rm1	Last month	283	1	20041716	8071000	94616	17800
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rm1	Last month	90	1	17672911	7608999	46971	10699
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rm1	Last month	95	1	17647905	8198000	57863	13551
European Commission		107898832590939	Facebook	rm1	Last month	85	1	17513847	7932524	70116	18075
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rm1	Last month	37	1	17044296	8088666	36606	16730
Partidul Naţional Liberal		181375448581167	Facebook	rm1	Last month	76	1	16439924	7116999	25070	6954
România în primul rând	Future Innovation	770704223323599	Facebook	rm1	Last month	64	1	16395936	7271000	17719	4328
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rm1	Last month	72	1	16390597	6945433	146464	34316
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rm1	Last month	46	1	16224954	7397999	104854	25100
Un país moderno	Unidas Podemos	577723459314066	Facebook	rm1	Last month	64	1	15626936	7059999	84536	17999
FDP	FDP	21289227249	Facebook	rm1	Last month	853	1	15608153	4727116	111632	7400
Greenpeace France		39435457457	Facebook	rm1	Last month	68	1	15396932	6849000	58931	14500
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rm1	Last month	21	1	12449979	5610000	40079	9800
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rm1	Last month	31	1	11159968	5164999	7893	3277
The Labour Party	The Labour Party	25749647410	Facebook	rm1	Last month	144	1	10750730	4211431	97288	23070
