audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	EL	Greece	6844	1317	28933292	10936634	102267	11170
m18_24	male (18-24)	EL	Greece	6187	1221	28101037	11031043	86248	10801
m35_44	male (35-44)	EL	Greece	6832	1301	26497018	9666493	99579	9353
m45_54	male (45-54)	EL	Greece	6669	1254	23478385	8233253	98612	7755
f18_24	female (18-24)	EL	Greece	6351	1232	16229900	6543701	47877	6694
m55_64	male (55-64)	EL	Greece	5968	1196	15990368	5300652	72203	4532
f45_54	female (45-54)	EL	Greece	6888	1275	14543130	5155216	62094	5350
f35_44	female (35-44)	EL	Greece	7048	1312	14120853	5264044	54926	5477
f25_34	female (25-34)	EL	Greece	7044	1331	12823517	4979721	45494	5450
f55_64	female (55-64)	EL	Greece	6097	1214	11903796	4032295	53925	4074
m65_	male (65+)	EL	Greece	5442	1100	9485000	3139010	42780	2758
f65_	female (65+)	EL	Greece	5544	1114	6546926	2204661	30594	2307
m13_17	male (13-17)	EL	Greece	1097	278	1598977	591936	4198	305
f13_17	female (13-17)	EL	Greece	1106	279	1496180	560567	3710	258
u35_44	unknown (35-44)	EL	Greece	5860	1181	497772	183450	1837	191
u25_34	unknown (25-34)	EL	Greece	5516	1143	286345	107724	1037	117
u45_54	unknown (45-54)	EL	Greece	5331	1097	211596	75926	885	83
u65_	unknown (65+)	EL	Greece	3814	901	74500	25846	320	24
u55_64	unknown (55-64)	EL	Greece	4049	942	73845	25250	324	24
u18_24	unknown (18-24)	EL	Greece	3301	829	44916	17574	162	22
u13_17	unknown (13-17)	EL	Greece	340	143	2435	944	5	0
