day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d129	2019-05-09	CDU	CDU	78502295414	Facebook	3170	1	4830978	1159375	43378	1037
d129	2019-05-09	SPD	SPD	47930567748	Facebook	1052	1	2544003	428676	107405	1341
d129	2019-05-09	European Parliament		178362315106	Facebook	24	1	2458558	1175515	16427	4337
d129	2019-05-09	România în primul rând	Future Innovation	770704223323599	Facebook	43	1	2248030	1020795	2598	596
d129	2019-05-09	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	101	1	2070475	864783	6901	1638
d129	2019-05-09	FDP	FDP	21289227249	Facebook	460	1	2067035	671650	11695	1135
d129	2019-05-09	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	34	1	1967156	856956	4826	994
d129	2019-05-09	European Greens	European Greens	141366725876424	Facebook	32	1	1951492	872750	14742	3600
d129	2019-05-09	Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	1754982	673750	7182	1900
d129	2019-05-09	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	163	1	1596517	655460	6805	1251
d129	2019-05-09	sp.a	sp.a	57253967150	Facebook	156	1	1346744	455339	6329	1036
d129	2019-05-09	Partito Democratico		77034286895	Facebook	79	1	1297382	567213	4441	860
d129	2019-05-09	SPÖ	SPÖ	77393060080	Facebook	530	1	1190424	371272	10870	1297
d129	2019-05-09	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	38	1	1154632	498582	2412	675
d129	2019-05-09	Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	12	1	1151988	530000	1188	0
d129	2019-05-09	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	15	1	1140468	531589	1998	798
d129	2019-05-09	Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	5	1	1116663	453333	16360	6050
d129	2019-05-09	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	581	1	1078275	384665	14098	1842
d129	2019-05-09	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	15	1	924406	363120	8002	1615
d129	2019-05-09	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	17	1	899995	371666	1245	199
d129	2019-05-09	Fidesz	Fidesz	9844779306	Facebook	9	1	899994	450000	3404	1702
d129	2019-05-09	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	24	1	891989	372380	807	281
d129	2019-05-09	Greenpeace France		39435457457	Facebook	5	1	854995	361000	2195	700
d129	2019-05-09	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	94	1	842070	393929	3970	716
d129	2019-05-09	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	10	1	779497	348500	892	165
