advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	g	Google	72	1	519120000	51910000	1035400	18500
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	g	Google	112	1	498010000	49800000	1198400	22250
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	g	Google	259	1	421630000	42090000	770000	16250
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	g	Google	68	1	313700000	31360000	1180000	20450
AMERISOFT SRL		AR573801583431647232	Google	g	Google	219	1	270840000	27030000	85700	2650
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	g	Google	101	1	233030000	23240000	947050	46000
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	g	Google	251	1	193400000	19230000	1157600	22600
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	g	Google	46	1	145810000	14580000	849050	43900
CDU Christlich Demokratische Union		AR68737343799951360	Google	g	Google	11871	1	145170000	2940000	907200	34850
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	g	Google	127	1	129160000	12840000	775350	14750
Partidul Pro Romania		AR116025139887341568	Google	g	Google	181	1	110530000	10970000	207200	5050
SOCIALDEMOKRATIET		AR271193993235136512	Google	g	Google	182	1	105770000	10550000	1754050	32700
Freiheitliche Partei Österreich		AR333020356698701824	Google	g	Google	64	1	103600000	10330000	698850	41250
Det Konservative Folkeparti		AR40969452518375424	Google	g	Google	359	1	86390000	8320000	372600	8300
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	g	Google	143	1	85670000	8510000	416300	8700
COALICION CANARIA		AR489541609348661248	Google	g	Google	5423	1	85460000	3310000	401750	3200
Sloboda a Solidarita		AR242125929453715456	Google	g	Google	578	1	75440000	7140000	189650	6550
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	g	Google	31	1	74830000	7480000	67300	1650
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	g	Google	155	1	74360000	7360000	45800	1400
NEA DEMOKRATIA		AR351183464155840512	Google	g	Google	52	1	66490000	6640000	373700	7300
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	g	Google	2626	1	66040000	4180000	183300	2950
European Parliament		AR345426421272805376	Google	g	Google	338	1	64850000	6370000	884950	20100
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	g	Google	55	1	63010000	6270000	223200	4700
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	g	Google	910	1	61300000	5440000	97050	2900
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	g	Google	497	1	60950000	5790000	82700	3600
Open Vld		AR369049153717665792	Google	g	Google	773	1	57770000	5290000	277300	9550
HEADS, s.r.o.		AR356967719951663104	Google	g	Google	31	1	52330000	5230000	97250	2150
Partido Animalista PACMA		AR145115193901318144	Google	g	Google	20	1	50060000	5000000	272350	4700
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	g	Google	962	1	50030000	4130000	450050	7900
Popolari per l'Italia		AR406403961759727616	Google	g	Google	7	1	50020000	5000000	91100	1600
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	g	Google	217	1	48250000	4720000	856400	17600
