advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	200k_500k	200k - 500k	67	1	33499933	13400000	187933	43900
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	200k_500k	200k - 500k	83	1	33029020	3302902	27358	1731
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	200k_500k	200k - 500k	67	1	26661980	2666198	116835	2705
SOCIALDEMOKRATIET		AR271193993235136512	Google	200k_500k	200k - 500k	67	1	26661980	2666198	541596	9391
AMERISOFT SRL		AR573801583431647232	Google	200k_500k	200k - 500k	62	1	24672280	2467228	15658	477
Partidul Pro Romania		AR116025139887341568	Google	200k_500k	200k - 500k	56	1	22284640	2228464	28353	775
Sloboda a Solidarita		AR242125929453715456	Google	200k_500k	200k - 500k	49	1	19499060	1949906	20235	1014
European Parliament		AR345426421272805376	Google	200k_500k	200k - 500k	46	1	18305240	1830524	326111	5750
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	200k_500k	200k - 500k	44	1	17509360	1750936	231800	4277
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	200k_500k	200k - 500k	43	1	17111420	1711142	19757	974
Fidesz	Fidesz	9844779306	Facebook	200k_500k	200k - 500k	31	1	15499969	6200000	56333	24452
Slovenska demokratska stranka		AR170068335415787520	Google	200k_500k	200k - 500k	38	1	15121720	1512172	15718	537
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	200k_500k	200k - 500k	36	1	14325840	1432584	5909	577
Partido Popular Regional De Canarias		AR288284801977286656	Google	200k_500k	200k - 500k	36	1	14325840	1432584	5193	497
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	200k_500k	200k - 500k	32	1	12734080	1273408	311587	5292
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	200k_500k	200k - 500k	31	1	12336140	1233614	616	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	200k_500k	200k - 500k	30	1	11938200	1193820	64665	1492
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	200k_500k	200k - 500k	29	1	11540260	1154026	3084	278
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	200k_500k	200k - 500k	29	1	11540260	1154026	4158	397
Avaaz	Avaaz	8340223883	Facebook	200k_500k	200k - 500k	23	1	11499977	4600000	61977	15700
Future Innovation SRL		AR474748779908562944	Google	200k_500k	200k - 500k	28	1	11142320	1114232	64267	1452
European Greens	European Greens	141366725876424	Facebook	200k_500k	200k - 500k	22	1	10999978	4400000	89978	19500
Open Vld		AR369049153717665792	Google	200k_500k	200k - 500k	27	1	10744380	1074438	75807	1611
European Commission	European Commission	107898832590939	Facebook	200k_500k	200k - 500k	20	1	9999980	4000000	22480	6600
NEA DEMOKRATIA		AR351183464155840512	Google	200k_500k	200k - 500k	25	1	9948500	994850	98888	1930
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	200k_500k	200k - 500k	24	1	9550560	955056	286516	4775
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	200k_500k	200k - 500k	24	1	9550560	955056	15977	596
Best For Britain	Best for Britain	1863944713844924	Facebook	200k_500k	200k - 500k	19	1	9499981	3800000	86767	19093
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	200k_500k	200k - 500k	17	1	8499983	3400000	69990	15737
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	200k_500k	200k - 500k	20	1	7958800	795880	3979	397
NEW GEN PUBLISHING SRL		AR55967615754960896	Google	200k_500k	200k - 500k	20	1	7958800	795880	2546	238
KKW Lewica Razem – Razem, Unia Pracy, RSS		AR374597289391423488	Google	200k_500k	200k - 500k	19	1	7560860	756086	3780	378
SPOLU - občianska demokracia		AR194838133366325248	Google	200k_500k	200k - 500k	18	1	7162920	716292	97137	1750
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	200k_500k	200k - 500k	18	1	7162920	716292	191409	3223
Gouvernement	Gouvernement	392341217527576	Facebook	200k_500k	200k - 500k	13	1	6499987	2600000	43487	9300
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	200k_500k	200k - 500k	16	1	6367040	636704	61879	1213
COALICION CANARIA		AR489541609348661248	Google	200k_500k	200k - 500k	16	1	6367040	636704	38043	815
mmb media agentur d.o.o.		AR524572049809604608	Google	200k_500k	200k - 500k	16	1	6367040	636704	1392	119
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	200k_500k	200k - 500k	16	1	6367040	636704	26661	676
