spend_code_filter	spend_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
50_100	50 - 100	Kialo		729627343834501	Facebook	636	1	10932742	3952733	66011	13090
50_100	50 - 100	COALICION CANARIA		AR489541609348661248	Google	4731	1	9610450	136431	41912	0
50_100	50 - 100	AMERISOFT SRL		AR573801583431647232	Google	172	1	7289342	719366	1523	0
50_100	50 - 100	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	173	1	7020022	696332	1532	0
50_100	50 - 100	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1969	1	4636900	127572	17443	0
50_100	50 - 100	mmb media agentur d.o.o.		AR524572049809604608	Google	1437	1	4268358	182499	12730	0
50_100	50 - 100	LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	44	1	4174917	1774974	3404	680
50_100	50 - 100	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	846	1	4050422	281722	7494	0
50_100	50 - 100	Britain's Future	Britain's Future	1625300137516491	Facebook	3488	1	3937589	1043933	61973	0
50_100	50 - 100	Rädda Barnen		72659261793	Facebook	232	1	3854387	1070082	30523	6310
50_100	50 - 100	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3555	1	3113722	745688	63164	0
50_100	50 - 100	ČSSD	ČSSD	111041662264882	Facebook	148	1	3019490	695399	14374	2875
50_100	50 - 100	People's Vote UK	People's Vote	748608695327755	Facebook	2649	1	3002196	712809	47066	0
50_100	50 - 100	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	57	1	2656135	1148341	2983	597
50_100	50 - 100	Plan International Sverige		382243262003	Facebook	148	1	2516707	672157	19570	4044
50_100	50 - 100	HLAS		AR312619193323225088	Google	843	1	2338826	93907	7468	0
50_100	50 - 100	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	30	1	2174953	859987	2321	464
50_100	50 - 100	Mediabrands Digital OÜ		AR530356305605427200	Google	336	1	2094312	166552	2976	0
50_100	50 - 100	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2131	1	2050313	458455	37863	0
50_100	50 - 100	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	60	1	1994960	734992	4488	897
50_100	50 - 100	România în primul rând	Future Innovation	770704223323599	Facebook	35	1	1982120	798846	1832	367
50_100	50 - 100	Dungeon Defenders		107960282569653	Facebook	308	1	1967057	805883	8636	1553
50_100	50 - 100	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	238	1	1890343	427962	6707	2508
50_100	50 - 100	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	52	1	1872270	671530	2721	545
50_100	50 - 100	Gazeta Wyborcza		63563473556	Facebook	74	1	1862273	474315	4288	859
