audience_code_filter	audience_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m45_54	male (45-54)	Britain's Future	Britain's Future	1625300137516491	Facebook	3888	1	12073571	3694819	135471	19712
m45_54	male (45-54)	European Parliament		178362315106	Facebook	1164	1	11671242	5177090	72560	17652
m45_54	male (45-54)	Ciudadanos	Ciudadanos	74078667754	Facebook	3777	1	8332605	2534077	75287	6284
m45_54	male (45-54)	Podemos	Unidas Podemos	269212336568846	Facebook	272	1	8233809	3712203	50862	13593
m45_54	male (45-54)	Kialo		729627343834501	Facebook	709	1	7923935	3161351	57712	14648
m45_54	male (45-54)	People's Vote UK	People's Vote	748608695327755	Facebook	3354	1	7734442	2583082	113684	19639
m45_54	male (45-54)	Partido Popular	Partido Popular	72249031214	Facebook	1287	1	6702261	2211704	50308	5715
m45_54	male (45-54)	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	345	1	5427606	2201107	24830	4763
m45_54	male (45-54)	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	88	1	5209167	2328892	10895	3209
m45_54	male (45-54)	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	176	1	4580379	2084061	15653	3471
m45_54	male (45-54)	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	4576191	1702738	12177	1646
m45_54	male (45-54)	Conservatives	The Conservative Party	8807334278	Facebook	1579	1	4147582	1622911	48296	6530
m45_54	male (45-54)	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2066	1	4068666	1347468	65001	7385
m45_54	male (45-54)	SPD	SPD	47930567748	Facebook	4191	1	3838041	1135177	72562	5179
m45_54	male (45-54)	The Labour Party	The Labour Party	25749647410	Facebook	608	1	3703622	1474946	31864	7149
m45_54	male (45-54)	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	134	1	3297930	1403736	6009	1533
m45_54	male (45-54)	sp.a	sp.a	57253967150	Facebook	268	1	2883635	1152483	12888	2971
m45_54	male (45-54)	Partito Democratico		77034286895	Facebook	136	1	2627043	1170416	10062	2340
m45_54	male (45-54)	The Brexit Party	The Brexit Party	230416667843105	Facebook	75	1	2365652	1120273	33883	10016
m45_54	male (45-54)	FDP	FDP	21289227249	Facebook	1524	1	2358910	718512	20970	1227
m45_54	male (45-54)	38 Degrees	38 Degrees	200006375787	Facebook	640	1	2341615	852379	16090	2484
m45_54	male (45-54)	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	2338531	1097482	4860	2149
m45_54	male (45-54)	CDU	CDU	78502295414	Facebook	3168	1	2332527	564068	22980	514
m45_54	male (45-54)	Best For Britain	Best for Britain	1863944713844924	Facebook	732	1	2218766	919383	33031	7648
m45_54	male (45-54)	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	102	1	2136789	913683	18844	4351
