advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	rd2	Last 2 days	PT	Portugal	1	1	464883	185953	928	464
Uniarea	Uniarea	413110028708018	Facebook	rd2	Last 2 days	PT	Portugal	3	1	67859	15364	181	0
SPEA - Sociedade Portuguesa para o Estudo das Aves	SPEA - Sociedade Portuguesa para o Estudo das Aves	152559446094	Facebook	rd2	Last 2 days	PT	Portugal	3	1	39640	9751	191	0
Erasmus+ Juventude em Ação	Erasmus+ Juventude em Ação	128362563891037	Facebook	rd2	Last 2 days	PT	Portugal	2	1	35376	8476	107	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	rd2	Last 2 days	PT	Portugal	4	1	32960	12566	56	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	rd2	Last 2 days	PT	Portugal	1	1	32803	16401	81	16
European Commission	European Commission	107898832590939	Facebook	rd2	Last 2 days	PT	Portugal	2	1	28689	14344	71	14
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	rd2	Last 2 days	PT	Portugal	2	1	9151	2367	32	0
Sandra x Tomiño	Bloque Nacionalista Galego de Tomiño	623179161441345	Facebook	rd2	Last 2 days	PT	Portugal	3	1	76	15	1	0
PSOE Extremadura	PSOE Extremadura	187170858138979	Facebook	rd2	Last 2 days	PT	Portugal	2	1	2	0	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	rd2	Last 2 days	PT	Portugal	1	1	1	0	0	0
