advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kárpát-medencei Magyar Összefogás	Kárpát-medencei Magyar Összefogás	221361328752151	Facebook	0_50	0 - 50	RO	Romania	41	1	494653	124148	613	10
Norica Nicolai	Increase Digital	121265151226126	Facebook	0_50	0 - 50	RO	Romania	28	1	481733	95615	428	6
Csíkország	Csíkország	2229168487164126	Facebook	0_50	0 - 50	RO	Romania	53	1	481511	141521	675	18
RMDSZ	RMDSZ	102601499822802	Facebook	0_50	0 - 50	RO	Romania	64	1	438750	112509	665	29
Greenpeace Romania	Greenpeace Romania	291132089193	Facebook	0_50	0 - 50	RO	Romania	25	1	348631	87130	417	4
USR Argeș	Uniunea Salvati Romania	987000488084806	Facebook	0_50	0 - 50	RO	Romania	22	1	316617	75521	252	8
Cristian Chirteș	EUROPA DNS	309525925854654	Facebook	0_50	0 - 50	RO	Romania	17	1	290311	79065	302	2
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	0_50	0 - 50	RO	Romania	28	1	285611	68521	377	8
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	0_50	0 - 50	RO	Romania	17	1	283698	67788	1389	0
Vincze Loránt	Vincze Loránt	675042232534141	Facebook	0_50	0 - 50	RO	Romania	22	1	266977	70999	457	0
Erdélyi magyarok Orbán Viktor mellett	Erdélyi magyarok Orbán Viktor mellett	1537537942983268	Facebook	0_50	0 - 50	RO	Romania	37	1	246449	76213	445	14
Gregoriana Tudoran	Tudoran Gregoriana Carmen	1985293741779690	Facebook	0_50	0 - 50	RO	Romania	16	1	228101	48727	144	8
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	0_50	0 - 50	RO	Romania	23	1	150527	31278	188	12
Corina Cretu	Corina Cretu	200813406761691	Facebook	0_50	0 - 50	RO	Romania	26	1	146750	41355	523	0
USR Galați	Uniunea Salvați România	174434106304018	Facebook	0_50	0 - 50	RO	Romania	24	1	143538	43017	345	6
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	0_50	0 - 50	RO	Romania	18	1	142291	35826	118	11
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	0_50	0 - 50	RO	Romania	12	1	133622	32716	130	5
Ionel Bogdan	Rus Alexandra	1449284915381234	Facebook	0_50	0 - 50	RO	Romania	13	1	130196	28840	133	5
Legyen ELÉG	Legyen Elég	1500893963467932	Facebook	0_50	0 - 50	RO	Romania	16	1	116968	36260	196	5
Gabriel Daraban	Dumio	170290960472201	Facebook	0_50	0 - 50	RO	Romania	23	1	116109	21532	444	1
