audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m18_24	male (18-24)	HU	Hungary	4811	1447	24261375	10351795	52529	17494
m25_34	male (25-34)	HU	Hungary	5346	1540	22777321	9543346	56209	17608
f55_64	female (55-64)	HU	Hungary	4705	1431	19911533	8039383	47818	17263
m35_44	male (35-44)	HU	Hungary	5314	1532	18472984	7655916	44502	14699
f65_	female (65+)	HU	Hungary	4209	1321	17264967	6711671	43987	15464
f18_24	female (18-24)	HU	Hungary	4943	1461	16355023	6948244	31332	10042
m45_54	male (45-54)	HU	Hungary	5147	1483	15526187	6396867	37497	12944
m55_64	male (55-64)	HU	Hungary	4583	1409	13241534	5327092	32069	11271
f25_34	female (25-34)	HU	Hungary	5487	1553	13145292	5515432	29230	9130
f45_54	female (45-54)	HU	Hungary	5308	1505	12833031	5319397	30040	10637
f35_44	female (35-44)	HU	Hungary	5467	1544	12139996	5032527	27394	9144
m65_	male (65+)	HU	Hungary	4133	1309	10458465	4085657	26627	9042
f13_17	female (13-17)	HU	Hungary	986	564	775533	311798	1729	335
m13_17	male (13-17)	HU	Hungary	1008	592	769804	312369	1799	382
u35_44	unknown (35-44)	HU	Hungary	3976	987	114667	46020	358	96
u25_34	unknown (25-34)	HU	Hungary	3717	923	85214	34489	274	73
u45_54	unknown (45-54)	HU	Hungary	3507	852	51692	20705	168	46
u65_	unknown (65+)	HU	Hungary	2554	688	33401	12734	91	27
u55_64	unknown (55-64)	HU	Hungary	2678	741	27145	10739	71	22
u18_24	unknown (18-24)	HU	Hungary	2593	679	25811	10620	83	21
u13_17	unknown (13-17)	HU	Hungary	285	129	1417	574	3	0
