advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm6	Last 6 months	CY	Cyprus	20	1	2927936	1285660	15126	3187
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	rm6	Last 6 months	CY	Cyprus	84	1	2579853	770147	9475	299
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	rm6	Last 6 months	CY	Cyprus	28	1	1519718	563492	5524	699
European Parliament Office in Cyprus		205478755729	Facebook	rm6	Last 6 months	CY	Cyprus	9	1	1498460	659277	6983	1298
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	rm6	Last 6 months	CY	Cyprus	65	1	1291859	270982	6433	0
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	rm6	Last 6 months	CY	Cyprus	22	1	1025369	401934	3381	299
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	rm6	Last 6 months	CY	Cyprus	22	1	964655	228535	2163	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	rm6	Last 6 months	CY	Cyprus	30	1	869864	184976	2969	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	rm6	Last 6 months	CY	Cyprus	19	1	785877	195975	2280	99
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	rm6	Last 6 months	CY	Cyprus	24	1	762792	166963	2375	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	rm6	Last 6 months	CY	Cyprus	28	1	520877	118980	2771	0
γυρίζουμε		278308089460720	Facebook	rm6	Last 6 months	CY	Cyprus	6	1	499467	220182	3382	780
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	rm6	Last 6 months	CY	Cyprus	38	1	467918	131986	3761	0
UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	rm6	Last 6 months	CY	Cyprus	7	1	427309	184337	762	40
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	rm6	Last 6 months	CY	Cyprus	11	1	424700	90940	1088	0
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	rm6	Last 6 months	CY	Cyprus	13	1	386913	112984	1286	0
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	rm6	Last 6 months	CY	Cyprus	9	1	379716	114887	890	0
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	rm6	Last 6 months	CY	Cyprus	11	1	374896	77981	1088	0
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rm6	Last 6 months	CY	Cyprus	5	1	365413	155937	2740	531
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	rm6	Last 6 months	CY	Cyprus	16	1	360916	80985	1583	0
AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	rm6	Last 6 months	CY	Cyprus	6	1	360344	161682	992	99
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	rm6	Last 6 months	CY	Cyprus	37	1	292703	133038	454	121
Power Beach		484571345318227	Facebook	rm6	Last 6 months	CY	Cyprus	1	1	199485	99743	98	0
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	rm6	Last 6 months	CY	Cyprus	12	1	191987	40999	1187	0
Dr. Eleni Stavrou		822417261217421	Facebook	rm6	Last 6 months	CY	Cyprus	6	1	179994	45000	594	0
