advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m	male	IT	Italy	405	1	17389674	7228818	77079	14389
Partito Democratico	Partito Democratico	77034286895	Facebook	m	male	IT	Italy	232	1	15774889	6740573	57680	12101
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m	male	IT	Italy	34	1	12600206	5821996	31366	8403
European Parliament		178362315106	Facebook	m	male	IT	Italy	200	1	9074788	3924693	29266	5119
Kialo		729627343834501	Facebook	m	male	IT	Italy	398	1	6902433	2758516	35060	8183
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	m	male	IT	Italy	99	1	6478064	2665526	36951	8182
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	m	male	IT	Italy	101	1	5295902	2177526	14241	2770
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	m	male	IT	Italy	73	1	5214647	2257161	9959	2376
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	m	male	IT	Italy	51	1	4730782	2012319	14278	3596
European Greens		141366725876424	Facebook	m	male	IT	Italy	53	1	4586501	2075088	20490	4955
Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	m	male	IT	Italy	52	1	4400462	1901851	25697	6289
Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	m	male	IT	Italy	40	1	3445317	1485973	4562	511
Lara Comi	Lara Comi	155619044465389	Facebook	m	male	IT	Italy	96	1	3343598	1007296	12115	2322
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	IT	Italy	75	1	2806364	1171417	8250	1872
Save the Children Italia		46590675335	Facebook	m	male	IT	Italy	30	1	2749590	1167579	9171	2826
Antonio Tajani	Antonio Tajani	506531149512596	Facebook	m	male	IT	Italy	70	1	2299363	764331	8920	1415
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	m	male	IT	Italy	37	1	1986987	907675	7602	1754
Forza Italia		172265396249029	Facebook	m	male	IT	Italy	20	1	1925432	700007	16902	3195
Stefano Maullu		150618724962388	Facebook	m	male	IT	Italy	40	1	1894143	720331	4979	755
Riparte il futuro		476098022442147	Facebook	m	male	IT	Italy	41	1	1815124	711235	5489	688
Matteo Gazzini	Matteo Gazzini	204493693449796	Facebook	m	male	IT	Italy	95	1	1770592	539796	11295	1671
Mara Bizzotto Pagina Ufficiale		206708532746370	Facebook	m	male	IT	Italy	32	1	1749244	814211	7620	1489
WeWorld Onlus		299584710061488	Facebook	m	male	IT	Italy	243	1	1745594	641610	11822	1477
Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	m	male	IT	Italy	81	1	1731210	562312	5402	140
Partito del Socialismo Europeo	Partito del Socialismo Europeo	1891926127734235	Facebook	m	male	IT	Italy	48	1	1668746	533113	4655	337
Massimiliano Smeriglio	Massimiliano Smeriglio	182266801912488	Facebook	m	male	IT	Italy	74	1	1536291	533563	6795	656
Petizioni.it		1410474395723679	Facebook	m	male	IT	Italy	33	1	1475189	675295	9834	2184
Nicola Danti	Nicola Danti	241424056063716	Facebook	m	male	IT	Italy	72	1	1446683	399570	7950	1127
Amref Health Africa - Italia		48677844864	Facebook	m	male	IT	Italy	62	1	1381275	479188	4888	186
Francesca Puglisi	Francesca Puglisi	196965250328047	Facebook	m	male	IT	Italy	36	1	1334625	576602	2753	181
Oxfam Italia		150200761667597	Facebook	m	male	IT	Italy	231	1	1327535	393446	14548	919
Medici Senza Frontiere		65737832194	Facebook	m	male	IT	Italy	25	1	1326632	558628	5617	1816
Nicola Fratoianni	Nicola Fratoianni	116181541819083	Facebook	m	male	IT	Italy	16	1	1270965	475133	1613	90
Enel Energia		1589410777971706	Facebook	m	male	IT	Italy	5	1	1189759	538815	11623	2312
