advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	d118	2019-04-28	32	1	20740000	2070000	35100	950
Future Innovation SRL		AR474748779908562944	Google	d118	2019-04-28	28	1	10581981	1057930	14685	282
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	d118	2019-04-28	75	1	9029101	901086	31136	1873
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	d118	2019-04-28	42	1	7262736	726273	16064	289
AMERISOFT SRL		AR573801583431647232	Google	d118	2019-04-28	42	1	6599524	658584	616	37
Freiheitliche Partei Österreich		AR333020356698701824	Google	d118	2019-04-28	41	1	4778690	477283	32129	4715
Popolari per l'Italia		AR406403961759727616	Google	d118	2019-04-28	4	1	3076923	307692	4692	84
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	d118	2019-04-28	235	1	2137010	199477	2889	110
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	d118	2019-04-28	5	1	1322093	132209	6540	109
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	d118	2019-04-28	40	1	1279867	126411	6945	131
Liberal Alliance		AR183859784640888832	Google	d118	2019-04-28	91	1	1137797	105625	23607	606
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	d118	2019-04-28	28	1	1107111	109444	485	18
CDA Doetinchem		AR453512812329697280	Google	d118	2019-04-28	35	1	1103973	109622	174	8
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	d118	2019-04-28	28	1	959230	95769	105	5
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	d118	2019-04-28	49	1	835809	78714	366	10
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	d118	2019-04-28	7	1	781250	78125	1953	39
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	d118	2019-04-28	42	1	775509	76407	183	9
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	d118	2019-04-28	101	1	724845	70416	699	54
HLAS		AR312619193323225088	Google	d118	2019-04-28	388	1	557202	24970	2546	32
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	d118	2019-04-28	32	1	458443	44860	6481	129
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	d118	2019-04-28	24	1	426952	41964	274	21
Svobodní		AR190231179645943808	Google	d118	2019-04-28	98	1	394276	36355	346	9
UAB "BPN LT"		AR135010682042056704	Google	d118	2019-04-28	32	1	382239	38223	191	11
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	d118	2019-04-28	20	1	360888	36008	202	18
Cink, s.r.o.		AR361287976015101952	Google	d118	2019-04-28	26	1	346662	34333	159	12
