advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	d141	2019-05-21	132	1	7263775	3187333	45731	10033
European Commission	European Commission	107898832590939	Facebook	d141	2019-05-21	79	1	5842755	2678785	18376	4767
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	d141	2019-05-21	2100	1	3959248	849200	86553	1904
European Greens	European Greens	141366725876424	Facebook	d141	2019-05-21	25	1	3724993	1755833	27993	6300
Fidesz	Fidesz	9844779306	Facebook	d141	2019-05-21	25	1	3676986	1600000	14857	6113
Greenpeace France	Greenpeace France	39435457457	Facebook	d141	2019-05-21	12	1	3325988	1431000	13588	3200
SPD	SPD	47930567748	Facebook	d141	2019-05-21	445	1	3100233	885000	50983	2183
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	d141	2019-05-21	52	1	2764298	1226007	8207	2057
CDU	CDU	78502295414	Facebook	d141	2019-05-21	3050	1	2495908	576314	77389	428
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	d141	2019-05-21	148	1	2428795	967949	48548	10815
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	d141	2019-05-21	45	1	2317573	1011500	14685	3269
Avaaz	Avaaz	8340223883	Facebook	d141	2019-05-21	43	1	2281671	995428	10217	3089
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	d141	2019-05-21	471	1	2250694	654616	31110	4302
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	d141	2019-05-21	289	1	2145470	838380	10557	1823
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	d141	2019-05-21	19	1	2105537	832222	12593	3055
Open Vld	Open Vld	53668151866	Facebook	d141	2019-05-21	44	1	2096057	860551	20213	4611
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	d141	2019-05-21	37	1	1897162	848533	2707	539
HOPE not hate	HOPE not hate	91897231853	Facebook	d141	2019-05-21	20	1	1836490	805000	11849	2603
Ciudadanos	Ciudadanos	74078667754	Facebook	d141	2019-05-21	35	1	1807491	801000	17391	5390
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	d141	2019-05-21	7	1	1641663	788333	2240	448
FDP	FDP	21289227249	Facebook	d141	2019-05-21	1375	1	1615635	479481	19030	556
To Potami	To Potami	240638659452549	Facebook	d141	2019-05-21	13	1	1596187	747095	7797	1871
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	d141	2019-05-21	7	1	1533327	716666	9660	3133
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	d141	2019-05-21	2	1	1499998	700000	9998	2000
Gouvernement	Gouvernement	392341217527576	Facebook	d141	2019-05-21	28	1	1478567	662857	7753	1628
