day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d127	2019-05-07	PT	Portugal	130	43	536830	253511	2658	485
d126	2019-05-06	PT	Portugal	140	50	632359	299948	2802	485
d125	2019-05-05	PT	Portugal	143	53	575213	271274	2852	569
d124	2019-05-04	PT	Portugal	160	58	822589	385139	3225	733
d123	2019-05-03	PT	Portugal	181	65	442237	197089	969	270
d122	2019-05-02	PT	Portugal	190	68	878727	375467	1373	362
d121	2019-05-01	PT	Portugal	199	70	382032	156078	944	278
d120	2019-04-30	PT	Portugal	248	81	505478	186574	1280	286
d119	2019-04-29	PT	Portugal	272	82	1434191	673792	6156	1257
d118	2019-04-28	PT	Portugal	258	81	1130056	548154	5691	1110
d117	2019-04-27	PT	Portugal	265	87	213622	90436	1161	334
d116	2019-04-26	PT	Portugal	546	100	638573	267538	2378	570
d115	2019-04-25	PT	Portugal	530	100	417847	164806	1075	112
d114	2019-04-24	PT	Portugal	516	99	252926	61085	889	57
d113	2019-04-23	PT	Portugal	472	100	576155	247759	2165	364
d112	2019-04-22	PT	Portugal	363	106	177987	57297	699	42
d111	2019-04-21	PT	Portugal	326	103	309753	137737	717	112
d110	2019-04-20	PT	Portugal	340	109	278304	99086	632	79
d109	2019-04-19	PT	Portugal	417	122	978699	411557	1694	298
d108	2019-04-18	PT	Portugal	461	129	358689	147967	985	85
d107	2019-04-17	PT	Portugal	486	132	690436	295613	1567	169
d106	2019-04-16	PT	Portugal	546	140	507729	203124	2002	314
d105	2019-04-15	PT	Portugal	576	156	764765	295995	2371	319
d104	2019-04-14	PT	Portugal	531	170	1044503	415672	3211	483
d103	2019-04-13	PT	Portugal	497	184	1059270	416148	2889	468
d102	2019-04-12	PT	Portugal	554	201	1543417	603506	5595	840
d101	2019-04-11	PT	Portugal	515	201	1122083	418879	4387	616
d100	2019-04-10	PT	Portugal	466	193	825550	308853	2647	359
d099	2019-04-09	PT	Portugal	489	203	1313106	502612	3913	855
d098	2019-04-08	PT	Portugal	478	190	730550	293211	2592	438
d097	2019-04-07	PT	Portugal	422	174	691005	274420	1690	318
d096	2019-04-06	PT	Portugal	430	187	723577	276019	1968	315
d095	2019-04-05	PT	Portugal	457	197	1043054	393336	2458	324
d094	2019-04-04	PT	Portugal	401	179	491810	193753	1630	165
d093	2019-04-03	PT	Portugal	359	169	545709	188289	1849	184
d092	2019-04-02	PT	Portugal	309	153	451046	147944	1995	258
d091	2019-04-01	PT	Portugal	309	138	450686	169137	2140	212
d090	2019-03-31	PT	Portugal	314	133	409509	150543	1344	168
d089	2019-03-30	PT	Portugal	311	129	404814	145824	1365	163
d088	2019-03-29	PT	Portugal	337	147	508172	165305	1846	185
d087	2019-03-28	PT	Portugal	323	141	512728	180628	2292	325
d086	2019-03-27	PT	Portugal	290	130	289386	109207	1014	101
d085	2019-03-26	PT	Portugal	277	115	205054	65455	820	57
d084	2019-03-25	PT	Portugal	265	116	366888	146436	1054	116
