advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	female	1798	1	124948406	55771598	617637	154803
Podemos	Unidas Podemos	269212336568846	Facebook	f	female	332	1	57414309	25477666	341903	87922
Partido Popular	Partido Popular	72249031214	Facebook	f	female	3639	1	55293200	18244577	426359	37410
Ciudadanos	Ciudadanos	74078667754	Facebook	f	female	5257	1	48778712	15023670	465234	37839
People's Vote UK	People's Vote	748608695327755	Facebook	f	female	3500	1	48477134	16806740	626950	113577
Britain's Future	Britain's Future	1625300137516491	Facebook	f	female	4475	1	34929282	10779069	432754	60769
European Greens		141366725876424	Facebook	f	female	266	1	31009925	13726214	183938	45222
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	female	2220	1	27778477	9421456	383358	50973
Best For Britain	Best for Britain	1863944713844924	Facebook	f	female	865	1	26176049	11197740	312688	74005
SPD	SPD	47930567748	Facebook	f	female	6746	1	25321145	6882526	563021	23019
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	female	2377	1	25077287	8546341	301597	31158
sp.a	sp.a	57253967150	Facebook	f	female	449	1	23633015	9531319	116756	24988
The Labour Party	The Labour Party	25749647410	Facebook	f	female	651	1	20872027	8492636	166997	37011
Greenpeace France		39435457457	Facebook	f	female	130	1	20339385	9339253	108651	24563
CDU	CDU	78502295414	Facebook	f	female	3170	1	19610479	4709937	174052	4243
Conservatives	The Conservative Party	8807334278	Facebook	f	female	1893	1	19515049	7559836	224380	29985
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	female	229	1	19364420	8714410	47206	10630
România în primul rând	Future Innovation	770704223323599	Facebook	f	female	94	1	17023994	7444972	17522	4421
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	female	95	1	16903337	7770914	41873	11255
PSOE	PSOE	189318235003	Facebook	f	female	335	1	16617152	6617924	49462	9150
Kialo		729627343834501	Facebook	f	female	815	1	16559588	6601870	110503	27293
FDP	FDP	21289227249	Facebook	f	female	1806	1	15999394	4840782	128010	7987
38 Degrees	38 Degrees	200006375787	Facebook	f	female	646	1	13737188	5032378	91913	13271
Médecins du Monde France		265420476920	Facebook	f	female	2102	1	13641620	4343414	221412	18603
Rädda Barnen		72659261793	Facebook	f	female	403	1	13591529	4549188	123781	31030
