advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace France		39435457457	Facebook	25_34	25-34	FR	France	130	1	6949118	3169698	34158	7782
Parlement européen en France	Parlement européen en France	279757933824	Facebook	25_34	25-34	FR	France	72	1	5100840	2223410	28748	7227
Médecins du Monde France		265420476920	Facebook	25_34	25-34	FR	France	1916	1	4136188	1347407	64602	5543
European Parliament		178362315106	Facebook	25_34	25-34	FR	France	61	1	3172882	1414892	18223	4223
Make.org	Make.org	122037308191612	Facebook	25_34	25-34	FR	France	55	1	1759684	829077	9459	2271
La Prime Énergie		336155273400553	Facebook	25_34	25-34	FR	France	27	1	1239497	490289	11173	2480
Kialo		729627343834501	Facebook	25_34	25-34	FR	France	364	1	1225676	502874	7957	1939
Primes écologique		152399322377561	Facebook	25_34	25-34	FR	France	19	1	1181873	486424	13492	2872
Agence Isolation Pour Tous		568528630290119	Facebook	25_34	25-34	FR	France	25	1	1020825	426416	12389	2936
Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	25_34	25-34	FR	France	87	1	952280	373071	6546	1291
Aides énergétiques pour tous		789578834730248	Facebook	25_34	25-34	FR	France	16	1	729784	300548	8563	1938
Ministère de l'Intérieur		103146727990	Facebook	25_34	25-34	FR	France	31	1	642875	269896	3196	681
UNICEF France		173159234432	Facebook	25_34	25-34	FR	France	38	1	608245	234181	3271	767
Mes économies d'énergie		124948231440251	Facebook	25_34	25-34	FR	France	11	1	602351	234417	6506	1295
Les Energies du Soleil		1684031805239401	Facebook	25_34	25-34	FR	France	14	1	568942	248729	6049	1694
Route Auto		252868201731333	Facebook	25_34	25-34	FR	France	5	1	544059	267088	2191	427
European Commission		107898832590939	Facebook	25_34	25-34	FR	France	5	1	542384	271192	2709	542
Céréal Bio & Céréal France		1636261843328359	Facebook	25_34	25-34	FR	France	5	1	540552	215948	2983	769
Mama Quilla		387951911757339	Facebook	25_34	25-34	FR	France	1	1	536947	268473	2684	536
Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	25_34	25-34	FR	France	58	1	528718	127674	4465	667
SECIB Immobilier		378027698975144	Facebook	25_34	25-34	FR	France	24	1	495109	185909	6483	1787
Carrefour		176105152520900	Facebook	25_34	25-34	FR	France	10	1	493595	204687	2875	576
ARTE		58523373944	Facebook	25_34	25-34	FR	France	6	1	472173	204212	800	153
France Soleil		1928798227141536	Facebook	25_34	25-34	FR	France	14	1	459040	213335	6025	2028
Economiser Energie		286272318578056	Facebook	25_34	25-34	FR	France	11	1	447807	175250	5453	1059
