advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	w003	Week 3	436	1	5297714	1541739	58819	7201
People's Vote UK	People's Vote	748608695327755	Facebook	w003	Week 3	384	1	3687395	1199144	76055	10812
The Labour Party	The Labour Party	25749647410	Facebook	w003	Week 3	17	1	2893319	1218333	20196	5940
Best For Britain	Best for Britain	1863944713844924	Facebook	w003	Week 3	76	1	2752035	1252663	26139	7647
We are the 52%	We are the 52%	466744973727718	Facebook	w003	Week 3	33	1	2031537	770065	4875	609
Kialo		729627343834501	Facebook	w003	Week 3	4	1	2000996	900000	9431	1869
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	w003	Week 3	52	1	1252390	409738	14414	3494
Plan International Sverige		382243262003	Facebook	w003	Week 3	65	1	1036363	415870	10592	2641
Greenpeace France		39435457457	Facebook	w003	Week 3	18	1	938982	382000	7482	1200
CIWF Italia		576664002355828	Facebook	w003	Week 3	5	1	799995	320000	6595	1300
Kyriakos Mitsotakis		34848567724	Facebook	w003	Week 3	6	1	774995	340000	1895	500
Alex Salmond	Slainte Media	136191876445102	Facebook	w003	Week 3	3	1	666664	283333	1076	192
MDM Deutsche Münze		126866220711392	Facebook	w003	Week 3	2	1	549998	210000	598	100
European Commission		107898832590939	Facebook	w003	Week 3	4	1	519998	247999	2638	640
Fibrenew International		108329495874655	Facebook	w003	Week 3	1	1	499999	200000	8900	4450
Stop Cambio Climático		124967441456981	Facebook	w003	Week 3	5	1	493608	220944	964	177
Roberta Metsola		406824526101449	Facebook	w003	Week 3	15	1	492766	187861	4154	643
Perseus Apparel		1112003955624720	Facebook	w003	Week 3	11	1	469989	100000	969	0
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	w003	Week 3	10	1	462740	155400	4288	810
Sacramento Kings		96222644025	Facebook	w003	Week 3	1	1	444444	222222	395	197
London Labour Party	The London Labour Party 	474613052643462	Facebook	w003	Week 3	13	1	430207	179897	1576	456
Leave Means Leave	Leave Means Leave	1705780739687918	Facebook	w003	Week 3	9	1	409990	84999	3808	694
Scientists for EU	Scientists for EU	642444842524195	Facebook	w003	Week 3	8	1	399383	114756	1489	172
The Week UK	The Week	177855115588808	Facebook	w003	Week 3	25	1	366975	134000	3326	115
38 Degrees	38 Degrees	200006375787	Facebook	w003	Week 3	25	1	337465	146875	3006	226
