advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alfred Sant	Alfred Sant	537789116260209	Facebook	f25_34	female (25-34)	MT	Malta	110	1	389760	155310	1543	247
European Parliament		178362315106	Facebook	f25_34	female (25-34)	MT	Malta	31	1	269421	115321	858	120
David Casa	David Casa	193035580892638	Facebook	f25_34	female (25-34)	MT	Malta	85	1	268742	79072	867	48
Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	f25_34	female (25-34)	MT	Malta	15	1	252856	115653	1717	371
Roberta Metsola		406824526101449	Facebook	f25_34	female (25-34)	MT	Malta	468	1	250328	82520	2727	151
Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	f25_34	female (25-34)	MT	Malta	113	1	224348	74985	883	88
Joe Sammut		433245190070343	Facebook	f25_34	female (25-34)	MT	Malta	78	1	164030	69013	614	106
Alex Agius Saliba	Alex Agius Saliba	656955664383156	Facebook	f25_34	female (25-34)	MT	Malta	42	1	136769	63426	840	110
Adrian Delia	Partit Nazzjonalista	1442808799090985	Facebook	f25_34	female (25-34)	MT	Malta	20	1	117846	46704	334	55
Josef Caruana		166617437361908	Facebook	f25_34	female (25-34)	MT	Malta	66	1	106866	35780	419	53
David Stellini	David Stellini	1911257335785088	Facebook	f25_34	female (25-34)	MT	Malta	10	1	82435	37495	286	50
Save the Refugees		1931458237163388	Facebook	f25_34	female (25-34)	MT	Malta	51	1	47745	14328	411	66
Francis Zammit Dimech	Francis Zammit Dimech	117406495021568	Facebook	f25_34	female (25-34)	MT	Malta	102	1	46794	10262	392	0
Lovin Malta	Lovin Malta	1700937210129433	Facebook	f25_34	female (25-34)	MT	Malta	6	1	42219	15204	92	7
Frank Psaila		458318884361628	Facebook	f25_34	female (25-34)	MT	Malta	64	1	41856	12116	441	5
Kialo		729627343834501	Facebook	f25_34	female (25-34)	MT	Malta	349	1	37624	16002	203	46
Vote16+		149809275605377	Facebook	f25_34	female (25-34)	MT	Malta	1	1	30864	15432	15	0
Roselyn Borg Knight	Roselyn Borg	446487702156732	Facebook	f25_34	female (25-34)	MT	Malta	52	1	30498	10258	317	0
FŻL - Forum Żgħażagħ Laburisti	FŻL - Forum Żgħażagħ Laburisti	40870184668	Facebook	f25_34	female (25-34)	MT	Malta	4	1	30457	6091	60	0
Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	f25_34	female (25-34)	MT	Malta	12	1	29089	12168	76	10
European Parliament Office in Malta		116353271736965	Facebook	f25_34	female (25-34)	MT	Malta	7	1	27512	11331	75	9
Friends of the Earth Malta	Friends of the Earth Malta	137236009675929	Facebook	f25_34	female (25-34)	MT	Malta	12	1	27399	6592	128	0
Miriam Dalli	Miriam Dalli	277980849002904	Facebook	f25_34	female (25-34)	MT	Malta	19	1	26050	6978	100	5
PD Martin Cauchi Inglott		181379916072401	Facebook	f25_34	female (25-34)	MT	Malta	38	1	25283	8871	132	7
Humble Household		1746853745395190	Facebook	f25_34	female (25-34)	MT	Malta	41	1	25113	10025	178	39
