impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
1k_5k	1k - 5k	FR	France	Médecins du Monde France		265420476920	Facebook	100	1	499831	99986	9887	0
1k_5k	1k - 5k	FR	France	Subventions énergétiques 2019	Primes Energetiques	1815507421886752	Facebook	44	1	219936	43996	4355	0
1k_5k	1k - 5k	FR	France	2 Min Ecologie		433170297221149	Facebook	25	1	124635	24932	2468	0
1k_5k	1k - 5k	FR	France	Touche pas à ma planète		2174582836142717	Facebook	24	1	108292	21662	2144	0
1k_5k	1k - 5k	FR	France	1devis.io		1632519900186330	Facebook	21	1	104979	21000	2079	0
1k_5k	1k - 5k	FR	France	Mon Energie Verte		252140872017180	Facebook	20	1	99980	20000	1980	0
1k_5k	1k - 5k	FR	France	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	20	1	99968	19997	1979	0
1k_5k	1k - 5k	FR	France	Plan International France		100707905881	Facebook	20	1	99960	19996	1979	0
1k_5k	1k - 5k	FR	France	Unispourleclimat-Paris		295379977773139	Facebook	19	1	94974	18998	1880	0
1k_5k	1k - 5k	FR	France	Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	19	1	94967	18997	1880	0
1k_5k	1k - 5k	FR	France	Consommez Malin		2045469565728527	Facebook	19	1	94905	18984	2279	100
1k_5k	1k - 5k	FR	France	Greenpeace France		39435457457	Facebook	18	1	89971	17997	1781	0
1k_5k	1k - 5k	FR	France	LIFE		167060196653670	Facebook	19	1	82998	16603	1643	0
1k_5k	1k - 5k	FR	France	VitaliBox		553738721659180	Facebook	17	1	79985	16000	1584	0
1k_5k	1k - 5k	FR	France	Hello Watt		124941754590121	Facebook	16	1	79968	15996	1583	0
1k_5k	1k - 5k	FR	France	Front de Gauche VSG		136014293928282	Facebook	14	1	69986	14000	1255	0
1k_5k	1k - 5k	FR	France	Festival Amnesty International Au Cinéma pour les Droits Humains		1263015460431177	Facebook	14	1	69986	13999	1386	0
1k_5k	1k - 5k	FR	France	Enlysée		236570007032383	Facebook	14	1	69973	13997	1385	0
1k_5k	1k - 5k	FR	France	Fille Unique	Sébastien Jean-Pierre Paul Henri Gourdon	268836617151334	Facebook	14	1	69967	13996	1385	0
1k_5k	1k - 5k	FR	France	Zéro Déchet France	Maitiarii Romain Edouard Bouly	2151862108254266	Facebook	14	1	69958	13994	1385	0
1k_5k	1k - 5k	FR	France	Socialter		121693529673	Facebook	14	1	68432	13689	1355	0
1k_5k	1k - 5k	FR	France	European Parliament		178362315106	Facebook	15	1	59995	12001	1188	0
1k_5k	1k - 5k	FR	France	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	12	1	59981	11998	1187	0
1k_5k	1k - 5k	FR	France	Pompes à Chaleur		464568377211278	Facebook	12	1	59973	11997	1187	0
1k_5k	1k - 5k	FR	France	Fondation pour la Recherche Médicale		118343701536672	Facebook	12	1	59972	11996	1187	0
1k_5k	1k - 5k	FR	France	dansmonplacard.fr		742487389469132	Facebook	13	1	56062	11214	988	0
1k_5k	1k - 5k	FR	France	Chroniques Du Golfe		2196850910357980	Facebook	15	1	55875	11177	984	0
1k_5k	1k - 5k	FR	France	Pour l'Éco		1684441541609223	Facebook	11	1	54989	11000	1089	0
1k_5k	1k - 5k	FR	France	MediaNews		1849142045325091	Facebook	11	1	54969	10996	1088	0
1k_5k	1k - 5k	FR	France	350.org		12185972707	Facebook	15	1	51762	10354	912	0
1k_5k	1k - 5k	FR	France	Eclairelavie		475156612973063	Facebook	14	1	50812	10164	895	0
1k_5k	1k - 5k	FR	France	Plan solaire		2049329408642212	Facebook	10	1	49988	9999	989	0
1k_5k	1k - 5k	FR	France	Fondation pour la Nature et l'Homme		54309785742	Facebook	10	1	49984	9998	989	0
1k_5k	1k - 5k	FR	France	Make.org	Make.org	122037308191612	Facebook	12	1	46212	9244	915	0
1k_5k	1k - 5k	FR	France	Axelle	Axelle Teixeira	405256393218025	Facebook	9	1	44989	8999	890	0
