week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	CZ	Czechia	788	142	1961697	683422	5275	1479
w019	Week 19	2019-05-06	2019-05-12	CZ	Czechia	2285	196	22032057	7395743	72833	17889
w018	Week 18	2019-04-29	2019-05-05	CZ	Czechia	1447	207	15591155	5708299	56580	17383
w017	Week 17	2019-04-22	2019-04-28	CZ	Czechia	1106	198	8246554	2529197	36675	10044
w016	Week 16	2019-04-15	2019-04-21	CZ	Czechia	984	222	10151535	3439897	38004	9274
w015	Week 15	2019-04-08	2019-04-14	CZ	Czechia	1027	308	6253102	2423892	28258	5321
w014	Week 14	2019-04-01	2019-04-07	CZ	Czechia	825	307	3267176	1142256	12519	2214
w013	Week 13	2019-03-25	2019-03-31	CZ	Czechia	575	215	3546002	1350587	15583	3334
w012	Week 12	2019-03-18	2019-03-24	CZ	Czechia	460	190	3976221	1540123	19036	4015
w011	Week 11	2019-03-11	2019-03-17	CZ	Czechia	255	113	1167614	324842	3566	661
w010	Week 10	2019-03-04	2019-03-10	CZ	Czechia	271	98	1416985	465304	2854	525
w009	Week 9	2019-02-25	2019-03-03	CZ	Czechia	129	55	261142	67227	1109	114
w008	Week 8	2019-02-18	2019-02-24	CZ	Czechia	104	48	348209	101341	889	180
w007	Week 7	2019-02-11	2019-02-17	CZ	Czechia	80	42	419295	128107	682	132
w006	Week 6	2019-02-04	2019-02-10	CZ	Czechia	73	34	300210	87798	879	171
w005	Week 5	2019-01-28	2019-02-03	CZ	Czechia	74	28	158491	44760	292	65
w004	Week 4	2019-01-21	2019-01-27	CZ	Czechia	58	26	97030	32290	298	79
w003	Week 3	2019-01-14	2019-01-20	CZ	Czechia	68	26	281024	88915	826	181
w002	Week 2	2019-01-07	2019-01-13	CZ	Czechia	46	24	121008	33193	192	52
w001	Week 1	2019-01-01	2019-01-06	CZ	Czechia	28	14	102704	51108	396	188
