audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	FR	France	8916	2771	30962337	12620102	195697	32382
m25_34	male (25-34)	FR	France	11887	3001	30414705	12096979	236525	41323
f25_34	female (25-34)	FR	France	12539	3126	29909407	11452063	253633	41588
m18_24	male (18-24)	FR	France	8582	2679	27180224	11221787	163441	28400
f35_44	female (35-44)	FR	France	12562	3073	24792757	9306899	232667	38656
m35_44	male (35-44)	FR	France	11855	2943	22380276	8714530	200389	36097
f45_54	female (45-54)	FR	France	12068	2947	20474662	7682048	205752	33358
m45_54	male (45-54)	FR	France	11346	2828	16774098	6405486	163124	29249
f55_64	female (55-64)	FR	France	10933	2720	16468952	6103608	174947	27414
f65_	female (65+)	FR	France	9651	2411	12652330	4611601	136229	20117
m55_64	male (55-64)	FR	France	10356	2634	11609029	4365574	120117	21050
m65_	male (65+)	FR	France	9161	2342	9334531	3478512	96001	16384
f13_17	female (13-17)	FR	France	1257	535	5174152	2144263	13233	1414
m13_17	male (13-17)	FR	France	1255	510	2403733	959956	11422	1211
u35_44	unknown (35-44)	FR	France	9341	2523	720927	263447	6974	1057
u25_34	unknown (25-34)	FR	France	8929	2489	631889	233202	5677	801
u45_54	unknown (45-54)	FR	France	8362	2318	418351	152055	4314	637
u65_	unknown (65+)	FR	France	6470	1836	273497	96352	3092	406
u55_64	unknown (55-64)	FR	France	6833	2007	251495	90944	2702	417
u18_24	unknown (18-24)	FR	France	5518	1866	164934	61552	1287	143
u13_17	unknown (13-17)	FR	France	768	388	13422	5115	58	5
