advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	200k_500k	200k - 500k	NL	Netherlands	17	1	4087421	1634971	19682	4851
SP	SP	128393027527	Facebook	200k_500k	200k - 500k	NL	Netherlands	8	1	3999989	1599998	35991	7499
Europees Parlement Nederland		270788920480	Facebook	200k_500k	200k - 500k	NL	Netherlands	6	1	2999980	1199994	25993	5499
D66	D66	52985377549	Facebook	200k_500k	200k - 500k	NL	Netherlands	5	1	2499988	999997	16494	3599
Vereniging Eigen Huis		371735371563	Facebook	200k_500k	200k - 500k	NL	Netherlands	5	1	2499974	999991	20994	4499
Oxfam Novib		115289021825188	Facebook	200k_500k	200k - 500k	NL	Netherlands	4	1	1999986	799996	29995	11999
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	200k_500k	200k - 500k	NL	Netherlands	4	1	1999975	799991	11495	2599
European Greens		141366725876424	Facebook	200k_500k	200k - 500k	NL	Netherlands	11	1	1696269	678509	16881	3382
Lilian Marijnissen	SP	844559615710915	Facebook	200k_500k	200k - 500k	NL	Netherlands	3	1	1499997	600000	6496	1599
Blendle		181375052003138	Facebook	200k_500k	200k - 500k	NL	Netherlands	3	1	1499989	599997	14996	2999
Stichting De Noordzee		128160633899802	Facebook	200k_500k	200k - 500k	NL	Netherlands	3	1	1499944	599978	10996	2499
GroenLinks	GroenLinks	175740570505	Facebook	200k_500k	200k - 500k	NL	Netherlands	2	1	999998	400000	5998	1500
VVD		121264564551002	Facebook	200k_500k	200k - 500k	NL	Netherlands	2	1	999998	400000	1498	600
CDA	CDA	320374518118	Facebook	200k_500k	200k - 500k	NL	Netherlands	2	1	999998	400000	5998	1500
Bespaarkiosk.nl		1659811130952704	Facebook	200k_500k	200k - 500k	NL	Netherlands	2	1	999985	399994	9997	1999
Wilde Ganzen		105516159523693	Facebook	200k_500k	200k - 500k	NL	Netherlands	2	1	999977	399991	1997	999
Kialo		729627343834501	Facebook	200k_500k	200k - 500k	NL	Netherlands	27	1	986388	394555	8460	1711
Ben & Jerry's		147006749798	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499999	200000	4999	1000
Stichting Vluchteling		120034538112114	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499999	200000	4999	1000
Milieu Centraal		177508708941577	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499999	200000	499	100
CDA Gelderland		133724653386228	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499999	200000	999	500
Prove Them Wrong	Prove Them Wrong	435711596958375	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499998	199999	498	99
Henk Jan Ormel	CDA	823537391322678	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499998	199999	498	99
European Commission		107898832590939	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499998	199999	4998	999
Saarland		882636711855443	Facebook	200k_500k	200k - 500k	NL	Netherlands	1	1	499998	199999	998	499
