week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-12	HR	Croatia	513	118	12565652	4119687	37351	2635
w018	Week 18	2019-04-29	2019-05-05	HR	Croatia	497	128	9863402	3865973	30469	3816
w017	Week 17	2019-04-22	2019-04-28	HR	Croatia	409	120	5340131	2153066	20435	3121
w016	Week 16	2019-04-15	2019-04-21	HR	Croatia	388	148	1184299	387772	4766	262
w015	Week 15	2019-04-08	2019-04-14	HR	Croatia	546	218	2265630	859784	7776	726
w014	Week 14	2019-04-01	2019-04-07	HR	Croatia	458	220	1612458	610094	6179	907
w013	Week 13	2019-03-25	2019-03-31	HR	Croatia	337	172	966489	371715	3404	302
w012	Week 12	2019-03-18	2019-03-24	HR	Croatia	313	162	1761952	648450	6116	399
w011	Week 11	2019-03-11	2019-03-17	HR	Croatia	190	92	963461	382797	3621	558
w010	Week 10	2019-03-04	2019-03-10	HR	Croatia	239	83	1010856	414466	3663	277
w009	Week 9	2019-02-25	2019-03-03	HR	Croatia	124	55	359792	89222	2555	268
w008	Week 8	2019-02-18	2019-02-24	HR	Croatia	102	50	215127	80498	1073	118
w007	Week 7	2019-02-11	2019-02-17	HR	Croatia	82	44	267245	78111	1639	74
w006	Week 6	2019-02-04	2019-02-10	HR	Croatia	67	34	152182	63891	1213	95
w005	Week 5	2019-01-28	2019-02-03	HR	Croatia	69	24	71346	16912	307	6
w004	Week 4	2019-01-21	2019-01-27	HR	Croatia	56	21	13837	4688	100	3
w003	Week 3	2019-01-14	2019-01-20	HR	Croatia	64	24	102338	40949	509	62
w002	Week 2	2019-01-07	2019-01-13	HR	Croatia	44	19	13576	4313	86	1
w001	Week 1	2019-01-01	2019-01-06	HR	Croatia	36	14	17123	6053	100	8
