country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
IT	Italy	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	398	1	29700600	12213999	140701	26799
IT	Italy	Partito Democratico		77034286895	Facebook	191	1	26818548	11869896	98908	22099
IT	Italy	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	31	1	18999954	8799993	52468	13799
IT	Italy	European Parliament		178362315106	Facebook	184	1	15231041	6528131	47761	8608
IT	Italy	Save the Children Italia		46590675335	Facebook	49	1	13336939	5912994	54350	14599
IT	Italy	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	93	1	11587849	4804973	31206	6099
IT	Italy	WeWorld Onlus		299584710061488	Facebook	374	1	10764534	4143963	61925	7699
IT	Italy	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	64	1	9374931	4131997	21335	5399
IT	Italy	European Greens		141366725876424	Facebook	51	1	9128624	4144244	41418	9918
IT	Italy	Kialo		729627343834501	Facebook	398	1	8509058	3412186	43278	10085
IT	Italy	Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	99	1	7097863	2845987	37700	8999
IT	Italy	Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	49	1	6278614	2725979	34934	8496
IT	Italy	Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	41	1	5895492	2582814	7658	899
IT	Italy	Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	43	1	5481930	2258990	13256	3899
IT	Italy	Lara Comi	Lara Comi	155619044465389	Facebook	91	1	4610907	1408999	16308	3199
IT	Italy	Medici Senza Frontiere		65737832194	Facebook	26	1	4476972	1880999	17873	5799
IT	Italy	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	51	1	4044721	1712008	11215	2738
IT	Italy	Stefano Maullu		150618724962388	Facebook	35	1	3686890	1457970	9564	1799
IT	Italy	Petizioni.it		1410474395723679	Facebook	32	1	3664966	1663999	23667	4999
IT	Italy	Amref Health Africa - Italia		48677844864	Facebook	103	1	3494886	1228996	12996	699
IT	Italy	Matteo Gazzini	Matteo Gazzini	204493693449796	Facebook	90	1	3434642	1036323	21168	3075
IT	Italy	Oxfam Italia		150200761667597	Facebook	280	1	3240671	942980	35919	2599
IT	Italy	Antonio Tajani	Antonio Tajani	506531149512596	Facebook	63	1	3188817	1119975	12836	2199
IT	Italy	Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	38	1	3048961	1346999	12861	3099
IT	Italy	Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	79	1	3045901	1019209	8757	300
