country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LT	Lithuania	European Parliament		178362315106	Facebook	42	1	8245250	3550357	36793	8918
LT	Lithuania	Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	50	1	7171943	3194997	11149	2099
LT	Lithuania	Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	44	1	4813954	2019999	8455	1299
LT	Lithuania	Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	70	1	3100908	995995	9329	600
LT	Lithuania	Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	99	1	2536897	619998	10600	200
LT	Lithuania	Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	60	1	1537932	338998	7139	300
LT	Lithuania	Kialo		729627343834501	Facebook	364	1	1405829	560804	8820	2074
LT	Lithuania	Už Ingridą	Ingrida Šimonytė	2214495192154107	Facebook	29	1	1297970	387999	3670	199
LT	Lithuania	Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	21	1	1124943	439992	4478	599
LT	Lithuania	Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	26	1	1006964	404997	4173	400
LT	Lithuania	Prof. Dr. Stanislovas Tomas, Advokatas		1049345465226776	Facebook	5	1	700994	269999	1597	534
LT	Lithuania	Liberalai	Liberalai	81004804444	Facebook	82	1	626912	157998	8096	0
LT	Lithuania	European Commission		107898832590939	Facebook	13	1	588900	261955	1760	246
LT	Lithuania	Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	12	1	551988	140000	2388	299
LT	Lithuania	Darbo partija	Darbo partija	264116120225	Facebook	19	1	521977	149000	1880	0
LT	Lithuania	Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)		198988713464683	Facebook	11	1	485989	193000	1889	200
LT	Lithuania	Tomas Tomilinas - naujienos		530620843630609	Facebook	18	1	451942	176980	2181	99
LT	Lithuania	Bronis Ropė		216419471860983	Facebook	10	1	356989	70999	990	0
LT	Lithuania	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	26	1	333123	99161	1070	38
LT	Lithuania	Petras Auštrevičius		1482024028702535	Facebook	11	1	332968	155989	1888	199
LT	Lithuania	Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	16	1	324983	76999	1583	0
LT	Lithuania	Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	41	1	322499	82854	4042	0
LT	Lithuania	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	52	1	304960	142570	670	192
LT	Lithuania	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	59	1	220079	95120	839	179
LT	Lithuania	Saulius Skvernelis	Saulius Skvernelis	814777171988967	Facebook	4	1	209996	75000	796	100
