advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Valter Flego	IDS - Istarski Demokratski Sabor	441675022557503	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	23	1	205644	42323	1215	204
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	26	1	55028	11991	130	4
Unija Kvarnera	Pametno	584966128586909	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	1	1	43536	21768	108	21
Morana Jokić	Hrvatska narodna stranka - liberalni demokrati (HNS)	386303408627910	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	3	1	19997	7000	297	0
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	49	1	16007	6807	61	16
European Parliament	European Parliament	178362315106	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	15	1	9066	4219	26	7
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	22	1	6500	2983	16	1
Đanino Sučić	Pametno	1778906682211240	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	1	1	6416	3208	32	6
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	11	1	6067	2725	41	1
European Greens	European Greens	141366725876424	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	6	1	5525	2402	18	7
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	16	1	5463	2256	6	0
Slobodna Dalmacija	Slobodna Dalmacija	100267330025110	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	25	1	5191	1476	14	0
Mladež HDZ	HDZ - Hrvatska demokratska zajednica	426737060720348	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	19	1	4809	1980	14	1
BIOM	BIOM	138743669505642	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	9	1	2063	450	5	0
Habib Tahiri	Hrvatska narodna stranka - liberalni demokrati (HNS)	750800161983664	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	2	1	1566	313	3	0
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	8	1	1386	408	4	0
Joško Klisović	Klisovic Josko	1262594650584725	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	14	1	1340	375	4	0
Model European Union Zagreb - MEUZ	Divea Studio	521874817895935	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	5	1	1306	559	1	0
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	8	1	1294	523	3	0
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	3	1	1143	228	6	1
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	8	1	1091	218	2	0
Željana Zovko	HDZ - Hrvatska demokratska zajednica	1203134436474667	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	18	1	1065	212	5	0
Marijana Petir	Marijana Petir	1418903245032313	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	8	1	1017	372	3	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	2	1	903	451	0	0
SNAGA - Stranka narodnog i građanskog aktivizma	SNAGA - stranka narodnog i građanskog aktivizma	309273389409125	Facebook	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	HR	Croatia	11	1	883	322	4	0
