platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	European Parliament		178362315106	Facebook	1804	1	254157196	113342000	1304775	323939
f	Facebook	Podemos	Unidas Podemos	269212336568846	Facebook	331	1	104971669	46949000	622569	162000
f	Facebook	People's Vote UK	People's Vote	748608695327755	Facebook	3557	1	96126443	33179000	1262196	226114
f	Facebook	Ciudadanos	Ciudadanos	74078667754	Facebook	6245	1	91000755	27833000	886755	68300
f	Facebook	Britain's Future	Britain's Future	1625300137516491	Facebook	4488	1	83742512	25934000	1003644	137011
f	Facebook	Kialo		729627343834501	Facebook	750	1	82288250	32786000	538277	132118
f	Facebook	Partido Popular	Partido Popular	72249031214	Facebook	3644	1	81745356	28177000	586556	61100
f	Facebook	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3904	1	53314096	18277000	746961	92690
f	Facebook	SPD	SPD	47930567748	Facebook	8817	1	51279183	14669000	1097183	60100
f	Facebook	Conservatives	The Conservative Party	8807334278	Facebook	2226	1	45617774	17578000	525334	71167
f	Facebook	sp.a	sp.a	57253967150	Facebook	422	1	41338578	16504000	195278	42100
f	Facebook	Best For Britain	Best for Britain	1863944713844924	Facebook	873	1	40579127	17207000	502830	118496
f	Facebook	The Labour Party	The Labour Party	25749647410	Facebook	659	1	38742341	15512000	314803	69199
f	Facebook	CDU	CDU	78502295414	Facebook	3170	1	38647830	9275000	347030	8300
f	Facebook	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	93	1	36922907	16560000	78643	23216
f	Facebook	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2333	1	35691667	12203000	415393	43626
f	Facebook	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	181	1	33344819	15183000	93626	20800
f	Facebook	Greenpeace France		39435457457	Facebook	131	1	30685869	13883000	154469	35700
f	Facebook	FDP	FDP	21289227249	Facebook	2153	1	30666847	9273000	267847	14500
f	Facebook	European Commission		107898832590939	Facebook	92	1	30386908	13977000	122608	31200
f	Facebook	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	118	1	28187882	11693000	85582	22300
f	Facebook	România în primul rând	Future Innovation	770704223323599	Facebook	94	1	27064906	12071000	29920	7143
f	Facebook	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	369	1	27009631	10968000	126131	24100
f	Facebook	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	26125934	12008000	176934	39200
f	Facebook	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	136	1	25756864	10995000	41593	10715
