day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d127	2019-05-07	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	44	1	988460	355666	2898	779
d127	2019-05-07	CZ	Czechia	Andrej Babiš	ANO	214827221987263	Facebook	2	1	299999	150000	971	194
d127	2019-05-07	CZ	Czechia	TOP 09	TOP 09	90002267161	Facebook	11	1	252558	104693	473	145
d127	2019-05-07	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	33	1	190609	61646	322	71
d127	2019-05-07	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	12	1	147554	58301	446	112
d127	2019-05-07	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	11	1	139688	44666	616	124
d127	2019-05-07	CZ	Czechia	ČSSD	ČSSD	111041662264882	Facebook	27	1	128973	26000	624	174
d127	2019-05-07	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	13	1	125554	46611	196	52
d127	2019-05-07	CZ	Czechia	European Parliament		178362315106	Facebook	3	1	124999	62500	1457	291
d127	2019-05-07	CZ	Czechia	Roman Kriz	Kriz Roman	382745889213194	Facebook	99	1	86407	20222	313	68
d127	2019-05-07	CZ	Czechia	KDU-ČSL	KDU-ČSL	251656685576	Facebook	15	1	75204	32150	224	53
d127	2019-05-07	CZ	Czechia	Evropa společně	Evropa společně	535611970260854	Facebook	14	1	63831	25249	233	62
d127	2019-05-07	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	33	1	62523	23381	172	53
d127	2019-05-07	CZ	Czechia	Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	5	1	54998	11000	213	42
d127	2019-05-07	CZ	Czechia	HLAS	První prezidentská	320144481956623	Facebook	12	1	50491	16000	184	48
d127	2019-05-07	CZ	Czechia	ecoFuture & E.ON Energy Globe		104654572907664	Facebook	76	1	47051	16567	210	5
d127	2019-05-07	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	31	1	32683	10238	74	19
d127	2019-05-07	CZ	Czechia	Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	13	1	32441	8402	94	27
d127	2019-05-07	CZ	Czechia	Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	5	1	31665	6333	49	11
d127	2019-05-07	CZ	Czechia	Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	4	1	27498	7999	32	6
d127	2019-05-07	CZ	Czechia	Institute H21	Sova Miriam	1900532106849242	Facebook	3	1	24999	5000	71	16
d127	2019-05-07	CZ	Czechia	Marek Ženíšek	TOP 09	523450094407778	Facebook	3	1	21249	4250	82	16
d127	2019-05-07	CZ	Czechia	Senátor Václav Hampl	Höfer Karel	524288824339961	Facebook	4	1	19498	3833	17	3
d127	2019-05-07	CZ	Czechia	Daniel Herman		378072105614553	Facebook	6	1	19275	7897	22	7
d127	2019-05-07	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	9	1	19161	6195	85	32
